sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
2795,10.1039/c4ta01957a,11390,9a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,300,,,,2.809,,3.0786,,,,
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,350,2.2735e+26,0.000011968,0.002265,2.7405,0.00010411,3.199,0.10298,83556.1497326203,0.0009056561,0.000283106
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,400,2.3246e+26,0.000013507,0.0020542,2.4487,0.00011749,2.9026,0.1662,74035.6852002665,0.0010219812,0.0003520916
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,450,2.3757e+26,0.000015047,0.0018434,2.1569,0.0001303,2.6063,0.22942,66458.4302518774,0.0011283372,0.0004329268
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,500,2.4268e+26,0.000016586,0.0016326,1.8651,0.00014254,2.3099,0.29264,60291.8123718799,0.001224988,0.0005303208
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,550,2.4779e+26,0.000018126,0.0014218,1.5732,0.0001542,2.0136,0.35586,55169.369965795,0.0013117974,0.0006514687
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,600,,0.000019665,,,0.00016528,,,50851.7670989067,0.001389142,
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,650,,0.000021205,,,0.00017579,,,47158.6889884461,0.0014573037,
2795,10.1039/c4ta01957a,11388,4b,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,300,,,0.0024758,3.0324,0.000090148,3.4953,,,,
2795,10.1039/c4ta01957a,26224,10b,32892,Sn-doped Cu3SbSe4_ 673 K,undefined,,1.5e+26,,,,,,0.63208,,,
2795,10.1039/c4ta01957a,26224,10b,32892,Sn-doped Cu3SbSe4_ 673 K,undefined,,2e+26,,,,,,0.64864,,,
2795,10.1039/c4ta01957a,26224,10b,32893,Sn-doped Cu3SbSe4_ 473 K,undefined,,5e+25,,,,,,0.25159,,,
2795,10.1039/c4ta01957a,26224,10b,32893,Sn-doped Cu3SbSe4_ 473 K,undefined,,1e+26,,,,,,0.25225,,,
2795,10.1039/c4ta01957a,26224,10b,32893,Sn-doped Cu3SbSe4_ 473 K,undefined,,1.5e+26,,,,,,0.25291,,,
2795,10.1039/c4ta01957a,26224,10b,32893,Sn-doped Cu3SbSe4_ 473 K,undefined,,2e+26,,,,,,0.25357,,,
2795,10.1039/c4ta01957a,26224,10b,32894,Sn-doped Cu3SbSe4_ 300 K,undefined,,5e+25,,,,,,0.069844,,,
2795,10.1039/c4ta01957a,26224,10b,32894,Sn-doped Cu3SbSe4_ 300 K,undefined,,1e+26,,,,,,0.066816,,,
2795,10.1039/c4ta01957a,26224,10b,32894,Sn-doped Cu3SbSe4_ 300 K,undefined,,1.5e+26,,,,,,0.063788,,,
2795,10.1039/c4ta01957a,26224,10b,32894,Sn-doped Cu3SbSe4_ 300 K,undefined,,2e+26,,,,,,0.060759,,,
