sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,content,total thermal conductivity,Figure of merit Z
10954,10.1007/s11664-015-4303-6,5134,3(a),6472,x=1,Eu1Zn2Sb2,450,,,73212,0.000013659,,0.0015635,0.00014848,1.9992,0.40169,,,0.0007820628
10954,10.1007/s11664-015-4303-6,5134,3(a),6472,x=1,Eu1Zn2Sb2,500,,,69147,0.000014462,,0.0016665,0.00015861,1.8574,0.50966,,,0.0008972219
10954,10.1007/s11664-015-4303-6,5134,3(a),6472,x=1,Eu1Zn2Sb2,550,,,65509,0.000015265,,0.0017696,0.00016835,1.7156,0.61764,,,0.0010314759
10954,10.1007/s11664-015-4303-6,5134,3(a),6472,x=1,Eu1Zn2Sb2,600,,,62232,0.000016069,,0.0018727,0.00017712,1.5737,0.72561,,,0.0011899981
10954,10.1007/s11664-015-4303-6,5134,3(a),6472,x=1,Eu1Zn2Sb2,650,,,59270,0.000016872,,0.0019758,0.00018363,1.4319,0.83358,,,0.001379845
10954,10.1007/s11664-015-4303-6,5134,3(a),6472,x=1,Eu1Zn2Sb2,700,,,56577,0.000017675,,0.0020788,0.00018586,1.2901,0.94155,,,0.001611348
10954,10.1007/s11664-015-4303-6,5136,3(b),6472,x=1,Eu1Zn2Sb2,300,,,,,,,0.00011115,2.4247,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,350,,,10777000,9.28e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,400,,,11240000,8.9e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,450,,,11703000,8.54e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,500,,,12167000,8.22e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,550,,,12630000,7.92e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,600,,,13094000,7.64e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27479,As power factor,YbMg2Sb2,350,,,10777000,9.28e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27479,As power factor,YbMg2Sb2,400,,,11240000,8.9e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27479,As power factor,YbMg2Sb2,450,,,11703000,8.54e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27479,As power factor,YbMg2Sb2,500,,,12167000,8.22e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27479,As power factor,YbMg2Sb2,550,,,12630000,7.92e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27479,As power factor,YbMg2Sb2,600,,,13094000,7.64e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27480,a,YbMg2Sb2,350,,,13165000,7.6e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27480,a,YbMg2Sb2,400,,,12710000,7.87e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27480,a,YbMg2Sb2,450,,,12255000,8.16e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27480,a,YbMg2Sb2,500,,,11800000,8.47e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27480,a,YbMg2Sb2,550,,,11345000,8.81e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27480,a,YbMg2Sb2,600,,,10889000,9.18e-8,,,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,undefined,300,,,,,,0.00035056,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,undefined,350,,,,,,0.00046925,,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,undefined,400,,,,,,0.00058795,,,,,,
