sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Figure of merit Z
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,550,,0.036171,27.646,1.135e-7,0.034104,2.0295,1e-10,0.000046819,5.0077,0.066962,,0
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,600,,0.044835,22.304,1.224e-7,0.02998,1.9456,2e-10,0.00006003,4.4111,0.11055,,0
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,650,,0.057098,17.514,1.314e-7,0.025855,1.8628,3e-10,0.000075575,3.8539,0.16899,,1e-10
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,700,,0.073889,13.534,1.403e-7,0.021731,1.7902,6e-10,0.000092997,3.3454,0.23842,,2e-10
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,750,,0.095086,10.517,1.493e-7,0.017607,1.738,1.2e-9,0.00011104,2.9096,0.31025,,4e-10
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,800,,0.11895,8.4069,1.582e-7,0.013482,1.7108,1.9e-9,0.00012736,2.5957,0.37005,,7e-10
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,850,,,,,,,,,2.4881,0.39656,,
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,300,,,,,,2.64,,,7.9051,,,
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,350,,0.016636,60.111,6.03e-8,0.03408,2.4519,0,0.000010538,7.1412,0.010345,,0
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,400,,0.019746,50.643,6.55e-8,0.031407,2.299,0,0.000013868,6.5273,0.010405,,0
5919,10.1002/aelm.201600019,2133,3(c),3208,x=0.02,(SnTe)0.98(Cu2Te)0.02,450,,0.023005,43.469,7.07e-8,0.028734,2.1708,0,0.000018066,5.9638,0.014405,,0
