sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,600,,,3.71e-8,0.0096861,0.55758,0.000049481,2.6955,0.13921,,,
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,650,,,3.91e-8,0.0089331,0.49113,0.00006578,2.4032,0.22676,,,
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,700,,,4.11e-8,0.0081801,0.45629,0.000084721,2.1006,0.35264,,,
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,750,,,4.32e-8,0.0074271,0.46153,0.00010627,1.7806,0.52593,,,
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,800,,,,0.0066742,0.48283,0.00013096,1.4467,0.75661,,,
5919,10.1002/aelm.201600019,2134,3(c)_lattice,3212,x=0.06,(SnTe)0.94(Cu2Te)0.06,850,,,,,0.44739,,,,,,
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,350,,0.0000014728,7.77e-8,0.050602,2.4936,0.000014131,7.3039,0.0097533,678978.8158609451,0.000135582,0.000018563
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,400,,0.0000016199,8.67e-8,0.046477,2.3978,0.000019644,6.7714,0.014207,617322.0569170937,0.0002382164,0.0000351798
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,450,,0.0000020148,9.56e-8,0.042353,2.302,0.000026911,6.2389,0.022152,496327.1788763152,0.0003594411,0.0000576129
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,500,,0.0000026576,1.046e-7,0.038229,2.2062,0.000035881,5.7064,0.038345,376279.3497892835,0.0004844394,0.000084894
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,550,,0.0000035481,1.135e-7,0.034104,2.1104,0.000046819,5.1739,0.066962,281840.9853160846,0.0006178007,0.0001194072
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,600,,0.0000046865,1.224e-7,0.02998,2.0146,0.00006003,4.6413,0.11055,213378.8541555532,0.0007689322,0.0001656717
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,650,,0.0000060727,1.314e-7,0.025855,1.9188,0.000075575,4.1088,0.16899,164671.3982248423,0.000940534,0.0002289072
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,700,,0.0000077068,1.403e-7,0.021731,1.823,0.000092997,3.5763,0.23842,129755.540561582,0.0011221833,0.0003137833
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,750,,0.0000095886,1.493e-7,0.017607,1.7272,0.00011104,3.0438,0.31025,104290.5116492502,0.0012858897,0.0004224619
5919,10.1002/aelm.201600019,2136,6(b),3207,x=0,SnTe,800,,0.000011718,1.582e-7,0.013482,1.6314,0.00012736,2.5113,0.37005,85338.7950162144,0.0013842439,0.0005512061
5919,10.1002/aelm.201600019,2137,7,3207,x=0,SnTe,850,,,,,,,1.9788,0.39656,,,
5919,10.1002/aelm.201600019,2133,3(c),3207,x=0,SnTe,300,,,,,2.5894,,7.8364,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1e+26,,,0.010388,,0.000083389,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.05e+26,,,0.0096067,,0.000082725,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.1e+26,,,0.0088259,,0.00008206,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.15e+26,,,0.0080451,,0.000081395,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.2e+26,,,0.0072643,,0.00008073,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.25e+26,,,0.0064835,,0.000080065,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.3e+26,,,0.0057027,,0.0000794,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.35e+26,,,0.0049219,,0.000078736,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.4e+26,,,0.0041411,,0.000010794,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.45e+26,,,0.034638,,0.000010876,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.5e+26,,,0.033859,,0.000010957,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.55e+26,,,0.033079,,0.000011039,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.6e+26,,,0.0323,,0.00001112,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.65e+26,,,0.031521,,0.000011202,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.7e+26,,,0.030741,,0.000011283,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.75e+26,,,0.029962,,0.000011365,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.8e+26,,,0.029182,,0.000011447,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.85e+26,,,0.028403,,0.000011528,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.9e+26,,,0.027624,,0.00001161,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,1.95e+26,,,0.026844,,0.000011691,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2e+26,,,0.026065,,0.000011773,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.05e+26,,,0.025286,,0.000011854,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.1e+26,,,0.024506,,0.000011936,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.15e+26,,,0.023727,,0.000012017,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.2e+26,,,0.022948,,0.000012099,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.25e+26,,,0.022168,,0.000012181,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.3e+26,,,0.021389,,0.000012262,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.35e+26,,,0.020609,,0.000012344,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.4e+26,,,0.01983,,0.000012425,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.45e+26,,,0.019051,,0.000012507,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.5e+26,,,0.018271,,0.000012588,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.55e+26,,,0.017492,,0.00001267,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.6e+26,,,0.016713,,0.000012751,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.65e+26,,,0.015933,,0.000012833,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.7e+26,,,0.015154,,0.000012915,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.75e+26,,,0.014374,,0.000012996,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.8e+26,,,0.013595,,0.000013078,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.85e+26,,,0.012816,,0.000013159,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.9e+26,,,0.012036,,0.000013241,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,2.95e+26,,,0.011257,,0.000013322,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,3e+26,,,0.010478,,0.000013404,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,3.05e+26,,,0.0096983,,0.000013485,,,,,
5919,10.1002/aelm.201600019,26381,5(a),33044,(SnTe)1−x(Cu2Te)x,undefined,,3.1e+26,,,,,0.000013567,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,4.5e+25,,,0.018976,,0.000090702,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,5e+25,,,0.018196,,0.000090038,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,5.5e+25,,,0.017415,,0.000089373,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,6e+25,,,0.016634,,0.000088708,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,6.5e+25,,,0.015853,,0.000088043,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,7e+25,,,0.015072,,0.000087378,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,7.5e+25,,,0.014292,,0.000086714,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,8e+25,,,0.013511,,0.000086049,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,8.5e+25,,,0.01273,,0.000085384,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,9e+25,,,0.011949,,0.000084719,,,,,
5919,10.1002/aelm.201600019,26382,5(b),33044,(SnTe)1−x(Cu2Te)x,undefined,,9.5e+25,,,0.011168,,0.000084054,,,,,
