sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,total thermal conductivity,Electrical conductivity,Power factor
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,600,,0.000010706,5.06e-8,0.0084979,2.2349,0.00010366,0.45335,,93405.5669717915,0.0010036798
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,650,,0.000012877,4.9e-8,0.0070573,1.987,0.00011909,0.56734,,77657.8395589035,0.0011013767
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,700,,0.000015047,4.74e-8,0.0056167,1.7392,0.00013453,0.68133,,66458.4302518774,0.001202786
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,750,,0.000017218,4.58e-8,0.0041762,1.4913,0.00014996,0.79531,,58078.7547914973,0.0013060751
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,800,,0.000019388,4.42e-8,0.0027356,1.2435,0.00016539,0.9093,,51578.295853105,0.0014108651
27946,10.1021/acsenergylett.6b00671,25499,Figure 2A,31749,Sn0.91Mg0.12Te(Cu2Te)x_ x=0.05_ nH = 1.5e20 cm^-3,undefined,850,,0.000021559,4.26e-8,0.001295,0.9956,0.00018083,1.0233,,46384.3406465977,0.0015167442
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,350,,2.492e-7,4.73e-8,0.020865,1.0625,0.000010494,-0.092288,4.2815,4012197.079120527,0.0004418393
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,400,,0.0000018655,5.51e-8,0.019021,1.0403,0.000025276,-0.007804,3.9869,536049.3165371214,0.0003424691
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,450,,0.0000034818,6.36e-8,0.017177,1.0181,0.000040058,0.076679,3.6923,287207.7660979953,0.000460866
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,500,,0.0000050981,7.16e-8,0.015332,0.99588,0.00005484,0.16116,3.3976,196151.5074243345,0.0005899111
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,550,,0.0000067144,7.81e-8,0.013488,0.97366,0.000069622,0.24565,3.103,148933.6351721673,0.0007219145
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,600,,0.0000083307,8.23e-8,0.011644,0.95144,0.000084404,0.33013,2.8083,120037.9319865077,0.0008551545
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,650,,0.000009947,8.3e-8,0.0097999,0.92922,0.000099186,0.41461,2.5137,100532.8239670252,0.0009890281
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,700,,0.000011563,7.93e-8,0.0079557,0.907,0.00011397,0.4991,2.2191,86482.7466920349,0.0011233383
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,750,,0.00001318,7.02e-8,0.0061115,0.88478,0.00012875,0.58358,1.9244,75872.5341426404,0.0012577058
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,800,,0.000014796,5.47e-8,0.0042673,0.86256,0.00014353,0.66806,1.6298,67585.8340091917,0.0013923264
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,850,,0.000016412,3.18e-8,0.0024231,0.84034,0.00015831,0.75255,1.3351,60931.0260784792,0.0015270568
27946,10.1021/acsenergylett.6b00671,25756,Figure 5C (II),31752,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.05_ nH = 1.5e20 cm^-3,undefined,300,,,,,1.0848,,,,,
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,350,,0.0000010219,2.8e-8,0.0093942,1.4109,0.000020633,-0.081387,4.543,978569.3316371465,0.0004165972
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,400,,0.0000021725,2.75e-8,0.0085908,1.3391,0.000033116,-0.0011869,4.2413,460299.1944764097,0.0005047961
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,450,,0.000003323,2.7e-8,0.0077875,1.2674,0.000045598,0.079013,3.9396,300932.8919650918,0.0006256929
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,500,,0.0000044735,2.64e-8,0.0069841,1.1957,0.00005808,0.15921,3.6379,223538.6162959652,0.0007540598
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,550,,0.000005624,2.59e-8,0.0061807,1.124,0.000070563,0.23941,3.3362,177809.3883357041,0.0008853373
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,600,,0.0000067746,2.54e-8,0.0053773,1.0523,0.000083045,0.31961,3.0344,147610.1910075872,0.0010179896
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,650,,0.0000079251,2.48e-8,0.0045739,0.98056,0.000095527,0.39981,2.7327,126181.3731057021,0.0011514565
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,700,,0.0000090756,2.43e-8,0.0037705,0.90884,0.00010801,0.48002,2.431,110185.5524703601,0.0012854423
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,750,,0.000010226,2.38e-8,0.0029671,0.83713,0.00012049,0.56022,2.1293,97789.9471934285,0.0014196988
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,800,,0.000011377,2.32e-8,0.0021637,0.76541,0.00013297,0.64042,1.8276,87896.6335589347,0.0015541022
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,850,,0.000012527,2.27e-8,0.0013603,0.69369,0.00014546,0.72062,1.5259,79827.572443522,0.0016890406
27946,10.1021/acsenergylett.6b00671,25758,Figure 5D,31753,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.08_ nH = 3.1e20 cm^-3,undefined,300,,,,,,,-0.16159,,,
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,300,,,6.98e-8,,,,,,,
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,350,,6.106e-7,6.86e-8,0.015278,1.0606,0.00003274,-0.096813,3.4647,1637652.9158410167,0.0017554126
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,400,,0.0000027639,6.74e-8,0.01387,1.0184,0.000043275,0.016749,3.2163,361807.5907232534,0.0006775663
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,450,,0.0000049171,6.62e-8,0.012462,0.9762,0.000055008,0.13031,2.968,203371.9062048769,0.000615379
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,500,,0.0000070704,6.5e-8,0.011054,0.934,0.00006794,0.24387,2.7196,141434.7137361394,0.0006528405
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,550,,0.0000092236,6.38e-8,0.0096468,0.8918,0.000082069,0.35744,2.4712,108417.5376208856,0.0007302269
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,600,,0.000011377,6.27e-8,0.0082391,0.8496,0.000097396,0.471,2.2229,87896.6335589347,0.0008337858
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,650,,0.00001353,6.15e-8,0.0068314,0.80739,0.00011392,0.58456,1.9745,73909.830007391,0.0009591845
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,700,,0.000015683,6.03e-8,0.0054237,0.76519,0.00013164,0.69812,1.7261,63763.3105910859,0.0011049601
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,750,,0.000017837,5.91e-8,0.004016,0.72299,0.00015056,0.81168,1.4777,56063.2393339687,0.0012708591
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,800,,0.00001999,5.79e-8,0.0026083,0.68079,0.00017068,0.92525,1.2294,50025.0125062531,0.0014573118
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,850,,0.000022143,5.67e-8,0.0012006,0.63859,0.000192,1.0388,0.98101,45160.998961297,0.0016648151
27946,10.1021/acsenergylett.6b00671,25754,Figure 5C (I),31754,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.10_ nH = 1.4e20 cm^-3,undefined,900,,,,,,,1.1524,0.73264,,
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31755,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.12_ nH = 1.5e20 cm^-3,undefined,350,,0.0000028746,4.35e-8,0.015933,1.0615,0.000025885,-0.11664,3.4825,347874.4868851319,0.0002330875
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31755,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.12_ nH = 1.5e20 cm^-3,undefined,400,,0.0000030876,5.48e-8,0.01446,1.0093,0.000041376,-0.0036577,3.2328,323876.1497603317,0.0005544673
27946,10.1021/acsenergylett.6b00671,25504,Figure 2B,31755,Sn1.03−yMgyTe(Cu2Te)0.05_ y=0.12_ nH = 1.5e20 cm^-3,undefined,450,,0.0000036332,6.3e-8,0.012986,0.95715,0.000056868,0.10932,2.983,275239.458328746,0.000890116
