sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Figure of merit Z
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,600,,,55804,0.36273,0.0013791,0.0001573,0.81707,1.0127,,0.0000179199,0.0016878603
37,10.1016/j.actamat.2010.04.007,11382,4(a),13628,y=1.35,Ag0.65Sb1.35Te2.26,650,,,44596,0.35612,0.0015503,0.00017635,0.77919,1.2933,,0.0000224235,0.0019896303
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,350,,,125750,0.32762,0.00030672,0.000043231,0.62168,0.021042,,0.0000079523,0.0004933728
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,400,,,111610,0.33575,0.00047369,0.00006364,0.62716,0.14574,,0.0000089598,0.0007552937
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,450,,,97471,0.34389,0.00064066,0.000084049,0.63265,0.27043,,0.0000102595,0.001012661
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,500,,,83333,0.35203,0.00080763,0.00010446,0.63813,0.39513,,0.000012,0.0012656199
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,550,,,69194,0.36016,0.00097459,0.00012487,0.64362,0.51982,,0.0000144521,0.001514232
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,600,,,55055,0.3683,0.0011416,0.00014528,0.6491,0.64452,,0.0000181637,0.0017587429
37,10.1016/j.actamat.2010.04.007,11382,4(a),13629,y=1.38,Ag0.62Sb1.38Te2.26,650,,,40916,0.37643,0.0013085,0.00016568,0.65459,0.76921,,0.0000244403,0.0019989612
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,-9.466e+26,0.018536,,,,,,,1.285,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,-6.2055e+26,0.017349,,,,,,,1.29,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,-2.945e+26,0.016162,,,,,,,1.295,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,3.1555e+25,0.014975,,,,,,,1.3,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,3.5761e+26,0.013788,,,,,,,1.305,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,6.8366e+26,0.012601,,,,,,,1.31,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,1.0097e+27,0.011415,,,,,,,1.315,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,1.3358e+27,0.010228,,,,,,,1.32,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,1.6618e+27,0.0090409,,,,,,,1.325,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,1.9879e+27,0.0078541,,,,,,,1.33,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,2.3139e+27,0.0066672,,,,,,,1.335,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,2.64e+27,0.0054804,,,,,,,1.34,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,2.966e+27,0.0042936,,,,,,,1.345,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,3.2921e+27,0.0031068,,,,,,,1.35,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,3.6181e+27,0.0019199,,,,,,,1.355,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,3.9442e+27,0.00073311,,,,,,,1.36,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,4.2702e+27,-0.00045372,,,,,,,1.365,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,4.5963e+27,-0.0016405,,,,,,,1.37,,
37,10.1016/j.actamat.2010.04.007,26713,5.1,33502,Ag2-ySbyTe1+y,undefined,,4.9223e+27,-0.0028274,,,,,,,1.375,,
37,10.1016/j.actamat.2010.04.007,26714,5.2,33502,Ag2-ySbyTe1+y,undefined,,,0.019722,,,,,,,1.28,,
37,10.1016/j.actamat.2010.04.007,26714,5.2,33502,Ag2-ySbyTe1+y,undefined,,,-0.0040142,,,,,,,1.38,,
