sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Electronic thermal conductivity,Hall concentration,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,hall density,Figure of merit Z
666,10.1088/1674-1056/21/10/106101,24804,4(a),30903,x=0.10,Ag0.9SbMn0.1Te2.05,450,,29787,0.000033572,0.22124,,,0.45295,0.001231,0.00020547,0.67265,0.86079,,0.0018300751
666,10.1088/1674-1056/21/10/106101,24804,4(a),30903,x=0.10,Ag0.9SbMn0.1Te2.05,500,,27294,0.000036638,0.22854,,,0.40919,0.0012187,0.00021264,0.63715,0.99353,,0.0019127364
666,10.1088/1674-1056/21/10/106101,24804,4(a),30903,x=0.10,Ag0.9SbMn0.1Te2.05,550,,24800,0.000040323,0.23585,,,0.36543,0.0012065,0.00021982,0.60164,1.1263,,0.002005352
666,10.1088/1674-1056/21/10/106101,24804,4(a),30904,x=0.20,Ag0.9Sb0.9Mn0.2Te2.05,350,,21659,0.00004617,0.12946,,,0.90978,0.00079481,0.00019168,1.0417,0.26683,,0.0007629932
666,10.1088/1674-1056/21/10/106101,24804,4(a),30904,x=0.20,Ag0.9Sb0.9Mn0.2Te2.05,400,,19406,0.00005153,0.12766,,,0.85858,0.00080031,0.00020759,0.9885,0.33565,,0.0008096206
666,10.1088/1674-1056/21/10/106101,24804,4(a),30904,x=0.20,Ag0.9Sb0.9Mn0.2Te2.05,450,,17152,0.000058302,0.12586,,,0.80737,0.00080582,0.00022349,0.93534,0.40448,,0.0008615263
666,10.1088/1674-1056/21/10/106101,24804,4(a),30904,x=0.20,Ag0.9Sb0.9Mn0.2Te2.05,500,,14899,0.000067119,0.12406,,,0.75616,0.00081132,0.00023939,0.88218,0.4733,,0.0009196763
666,10.1088/1674-1056/21/10/106101,24804,4(a),30904,x=0.20,Ag0.9Sb0.9Mn0.2Te2.05,550,,12646,0.000079076,0.12225,,,0.70495,0.00081682,0.00025529,0.82902,0.54213,,0.0009852838
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,350,,31278,0.000031971,,,,,1.2282,0.00019638,0.83954,0.51332,,1.4629439931
1653,10.1016/j.jallcom.2010.03.170,17340,3,20828,x=0.78,Ag0.78Sb1.22Te2.22,400,,29893,0.000033453,,,,,1.2456,0.00020598,0.82634,0.61665,,1.5073698478
