sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,700,,,66002,0.000015151,0.0021009,-0.00017841,1.5146,0.9409,0.0013870989
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,750,,,57284,0.000017457,0.0020837,-0.00019072,1.4323,1.045,0.001454793
117,10.1002/aenm.201400486,55,3(c),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,800,,,49838,0.000020065,0.0020544,-0.00020303,1.3843,1.149,0.0014840714
117,10.1002/aenm.201400486,9,3(b),26,Pb0.9975La0.0025Te1,Pb0.9975La0.0025Te1,300,,,313760,0.0000031871,,,,0.10839,
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,350,,,744990,0.0000013423,0.00054266,-0.000026989,5.8948,0.03222,0.0000920574
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,400,,,607680,0.0000016456,0.00061641,-0.000031849,5.3295,0.046264,0.00011566
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,450,,,507380,0.0000019709,0.00077038,-0.000038966,4.8292,0.071786,0.0001595254
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,500,,,429260,0.0000023296,0.00092829,-0.000046503,4.3739,0.10612,0.0002122339
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,550,,,367660,0.0000027199,0.0010686,-0.000053911,3.9549,0.14861,0.0002701965
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,600,,,318570,0.000003139,0.0012031,-0.000061455,3.5699,0.20221,0.0003370122
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,650,,,278250,0.0000035939,0.0013536,-0.000069748,3.2191,0.27332,0.0004204902
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,700,,,243090,0.0000041137,0.0015278,-0.000079278,2.9011,0.36864,0.0005266278
860,10.1039/c1ee01314a,88,2,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,750,,,210050,0.0000047608,0.0016993,-0.000089945,2.6083,0.48862,0.0006514971
860,10.1039/c1ee01314a,51,7,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,800,,,,,,,2.3232,,
860,10.1039/c1ee01314a,8,3,108,Pb1Te0.99I0.01,Pb1Te0.99I0.01,300,,,975320,0.0000010253,,,,,
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,350,,,397190,0.0000025177,0.0022778,-0.000075729,3.368,0.23671,0.0006763064
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,400,,,296740,0.00000337,0.0024348,-0.000090582,2.8552,0.3411,0.0008527599
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,450,,,226830,0.0000044085,0.0025723,-0.00010649,2.4782,0.46709,0.0010379711
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,500,,,179180,0.000005581,0.0026473,-0.00012155,2.1832,0.60629,0.0012125779
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,550,,,145120,0.000006891,0.0026597,-0.00013538,1.939,0.75443,0.0013716864
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,600,,,119310,0.0000083813,0.0026289,-0.00014844,1.7313,0.91107,0.0015184543
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,650,,,98844,0.000010117,0.0025771,-0.00016147,1.5575,1.0755,0.0016546388
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,700,,,82183,0.000012168,0.0025125,-0.00017485,1.4206,1.238,0.0017686189
860,10.1039/c1ee01314a,88,2,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,750,,,68526,0.000014593,0.0024212,-0.00018797,1.3238,1.3717,0.0018289772
860,10.1039/c1ee01314a,51,7,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,800,,,,,,,1.265,,
860,10.1039/c1ee01314a,8,3,133,Pb1Te0.998I0.002,Pb1Te0.998I0.002,300,,,505890,0.0000019767,,,,,
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,350,,,653770,0.0000015296,0.00075629,-0.000034012,5.0697,0.052212,0.0001491785
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,400,,,513400,0.0000019478,0.00089091,-0.000041657,4.4477,0.080123,0.000200308
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,450,,,422190,0.0000023686,0.0010628,-0.000050174,3.9392,0.12141,0.000269801
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,500,,,355420,0.0000028136,0.0012565,-0.000059459,3.5069,0.17915,0.0003582936
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,550,,,302900,0.0000033014,0.0014627,-0.00006949,3.1272,0.25725,0.0004677347
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,600,,,259610,0.000003852,0.0016699,-0.000080202,2.7871,0.35949,0.0005991532
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,650,,,222630,0.0000044918,0.0018584,-0.000091364,2.4816,0.48677,0.0007488717
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,700,,,190200,0.0000052575,0.0019963,-0.00010245,2.211,0.63203,0.0009028946
860,10.1039/c1ee01314a,88,2,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,750,,,161260,0.0000062013,0.002042,-0.00011253,1.9773,0.77454,0.0010327214
860,10.1039/c1ee01314a,51,7,2,Pb1Te0.9945I0.0055,Pb1Te0.9945I0.0055,800,,,,,,,1.782,,
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,300,,,,,,-0.00011769,2.7281,,
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,350,,,161470,0.0000061931,0.0026654,-0.00012848,2.2062,0.42285,0.0012081407
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,400,,,118890,0.0000084112,0.0026154,-0.00014832,1.8754,0.55783,0.0013945825
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,450,,,91802,0.000010893,0.0026465,-0.00016979,1.6511,0.72129,0.0016028708
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,500,,,73362,0.000013631,0.0026242,-0.00018913,1.4823,0.88518,0.0017703569
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,550,,,59913,0.000016691,0.002522,-0.00020517,1.3442,1.0319,0.0018762089
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,600,,,49544,0.000020184,0.002361,-0.0002183,1.2312,1.1506,0.0019176413
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,650,,,41263,0.000024235,0.0021703,-0.00022934,1.1492,1.2275,0.0018885312
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,700,,,34535,0.000028956,0.0019648,-0.00023852,1.1086,1.2406,0.0017723255
860,10.1039/c1ee01314a,88,2,373,Pb1Te0.9993I0.0007,Pb1Te0.9993I0.0007,750,,,29060,0.000034411,0.0017359,-0.00024441,1.1168,1.1658,0.0015543517
860,10.1039/c1ee01314a,88,2,122,Pb1Te0.9996I0.0004,Pb1Te0.9996I0.0004,300,,,,,,-0.00015126,,,
