sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,hall density,Electrical conductivity,Power factor,Figure of merit Z
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,900,0.000038764,-0.00020825,0.80046,0.83166,,25797.1313589929,0.0011187716,0.0013976609
4739,10.1103/physrevb.80.125205,642,6(a),1149,C,Ba15.12Ga28.66Ge56.21,950,0.000037319,,0.81701,0.85882,,26796.0020364962,,
4739,10.1103/physrevb.80.125205,645,11(a),1149,C,Ba15.12Ga28.66Ge56.21,300,,,1.513,,2.6969e+26,,,
4739,10.1103/physrevb.80.125205,646,11(b),1149,C,Ba15.12Ga28.66Ge56.21,1000,,,0.90545,,,,,
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,350,0.000048668,,1.0056,,1.0329e+26,20547.3822634996,,
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,400,0.000051226,,0.93924,,1.0872e+26,19521.3368211455,,
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,450,0.000054873,-0.00021694,0.88336,0.43691,1.1415e+26,18223.8988209137,0.0008576707,0.0009709186
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,500,0.000059366,-0.00021817,0.8406,0.47691,1.1957e+26,16844.658558771,0.0008017746,0.0009538122
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,550,0.000064537,-0.00021941,0.81097,0.3548,1.25e+26,15494.9873715853,0.0007459403,0.0009198124
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,600,0.000070235,-0.00022064,0.79286,0.40755,1.3043e+26,14237.9155691607,0.0006931303,0.0008742153
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,650,0.000076245,-0.00022188,0.78405,0.44465,1.3586e+26,13115.614138632,0.0006456913,0.0008235333
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,700,0.000082227,-0.00022311,0.78271,0.474,,12161.4554829922,0.0006053738,0.0007734331
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,750,0.000087639,-0.00022435,0.78841,0.49503,,11410.4451214642,0.000574321,0.0007284548
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,800,0.000091671,-0.00022558,0.80315,0.50212,,10908.5752309891,0.0005550974,0.0006911504
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,850,0.000093174,-0.00022682,0.83236,0.48798,,10732.6078090454,0.0005521638,0.0006633714
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,900,0.000090591,-0.00022805,0.88589,0.44708,,11038.6241458865,0.0005740835,0.0006480303
4739,10.1103/physrevb.80.125205,643,6(b),1150,D,Ba15.44Ga29.23Ge55.33,950,0.000081883,-0.00022929,0.97906,0.379,,12212.5471709634,0.0006420613,0.0006557936
4739,10.1103/physrevb.80.125205,645,11(a),1150,D,Ba15.44Ga29.23Ge55.33,1000,,,1.1336,,,,,
4739,10.1103/physrevb.80.125205,25170,3,1150,D,Ba15.44Ga29.23Ge55.33,300,,,,,9.7858e+25,,,
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,450,0.00052865,-0.00025171,0.96047,0.056152,,1891.6107065166,0.0001198485,0.0001247811
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,500,0.00033438,-0.00025079,0.91566,0.10271,,2990.6094862133,0.0001880963,0.0002054215
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,550,0.00025432,-0.00024988,0.88528,0.16066,,3932.0541050645,0.0002455175,0.0002773332
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,600,0.00022207,-0.00024896,0.86955,0.20508,,4503.0846129599,0.0002791061,0.0003209776
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,650,0.00019975,-0.00024804,0.86665,0.2503,,5006.2578222778,0.0003080042,0.0003553963
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,700,0.00017124,-0.00024712,0.87393,0.31703,,5839.757066106,0.000356624,0.0004080693
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,750,0.00013556,-0.00024621,0.88919,0.40269,,7376.8073177929,0.0004471774,0.0005029042
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,800,0.00010013,-0.00024529,0.91187,0.48937,,9987.0168780585,0.0006008907,0.0006589653
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,850,0.000074134,-0.00024437,0.94432,0.5518,,13489.0873283514,0.0008055237,0.0008530199
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,900,0.000061784,-0.00024345,0.99306,0.5653,,16185.4201735077,0.0009592759,0.0009659798
4739,10.1103/physrevb.80.125205,643,6(b),1151,E,Ba15.10Ga29.87Ge55.03,950,0.000055674,-0.00024253,1.07,0.51374,,17961.7056435679,0.0010565219,0.0009874037
4739,10.1103/physrevb.80.125205,645,11(a),1151,E,Ba15.10Ga29.87Ge55.03,300,,,1.1167,,,,,
4739,10.1103/physrevb.80.125205,645,11(a),1151,E,Ba15.10Ga29.87Ge55.03,350,,,1.0747,,,,,
4739,10.1103/physrevb.80.125205,645,11(a),1151,E,Ba15.10Ga29.87Ge55.03,400,,,1.0162,,,,,
4739,10.1103/physrevb.80.125205,645,11(a),1151,E,Ba15.10Ga29.87Ge55.03,1000,,,1.1936,,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,550,,,,0.35757,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,600,,,,0.42574,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,650,,,,0.50685,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,700,,,,0.60019,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,750,,,,0.70208,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,800,,,,0.80578,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,850,,,,0.90125,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,900,,,,0.97497,,,,
4739,10.1103/physrevb.80.125205,647,13,1152,BDP,undefined,950,,,,1.0098,,,,
