sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,750,,,49715,-0.00015643,1.6477,0.52155,,0.0000201147,0.0012165432,0.0007383281
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,800,,,34702,-0.00016954,1.5081,0.58276,,0.0000288168,0.0009974678,0.0006614069
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,850,,,19689,-0.00018265,1.3686,0.64397,,0.0000507898,0.0006568452,0.0004799395
18596,10.1002/aenm.201700099,25445,2b,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,900,,,,-0.00019576,,0.70519,,,,
18596,10.1002/aenm.201700099,25474,4a,31681,Pb1−xBixTe_ x=1.5%,Pb.985Bi0.015Te,300,,,184830,,2.9037,,,0.0000054104,,
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,300,,,2818.8,,,,,0.0003547609,,
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,350,,,3455.9,-0.0001753,1.8287,0.055373,,0.0002893602,0.0001062001,0.0000580741
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,400,,,4093,-0.0001851,1.8245,0.075599,,0.0002443196,0.0001402344,0.0000768618
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,450,,,4730.2,-0.00019491,1.8203,0.095825,,0.0002114076,0.0001796999,0.0000987199
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,500,,,5367.3,-0.00020472,1.816,0.11605,,0.0001863134,0.000224945,0.0001238684
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,550,,,6004.5,-0.00021452,1.8118,0.13628,,0.0001665418,0.0002763201,0.0001525114
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,600,,,6641.6,-0.00022433,1.8076,0.1565,,0.0001505661,0.0003342315,0.0001849035
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,650,,,7278.8,-0.00023414,1.8034,0.17673,,0.0001373853,0.000399035,0.0002212682
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,700,,,7915.9,-0.00024394,1.7992,0.19696,,0.000126328,0.0004710493,0.0002618104
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,750,,,8553,-0.00025375,1.7949,0.21718,,0.000116918,0.0005507197,0.0003068247
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,800,,,9190.2,-0.00026356,1.7907,0.23741,,0.0001088116,0.0006383869,0.0003565013
18596,10.1002/aenm.201700099,25446,2c,31682,Pb1−xSbxTe_ x=0.3%,Pb0.997Sb0.003Te,850,,,9827.3,-0.00027336,1.7865,0.25763,,0.0001017573,0.0007343518,0.0004110561
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,300,,,4061,,,,,0.0002462448,,
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,350,,,4908.9,-0.00020065,1.8469,0.0761,,0.0002037116,0.0001976344,0.0001070087
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,400,,,5756.8,-0.00020942,1.8068,0.11537,,0.0001737076,0.0002524745,0.0001397357
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,450,,,6604.7,-0.0002182,1.7666,0.15464,,0.0001514073,0.000314458,0.0001780018
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,500,,,7452.7,-0.00022697,1.7265,0.19392,,0.0001341796,0.0003839287,0.000222374
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,550,,,8300.6,-0.00023574,1.6864,0.23319,,0.0001204732,0.0004612921,0.0002735366
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,600,,,9148.5,-0.00024452,1.6462,0.27246,,0.0001093075,0.0005469891,0.0003322738
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,650,,,9996.4,-0.00025329,1.6061,0.31173,,0.000100036,0.0006413273,0.0003993072
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,700,,,10844,-0.00026206,1.5659,0.35101,,0.0000922169,0.0007447165,0.0004755837
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,750,,,11692,-0.00027084,1.5258,0.39028,,0.0000855286,0.0008576585,0.0005621042
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,800,,,12540,-0.00027961,1.4857,0.42955,,0.0000797448,0.0009803992,0.0006598904
18596,10.1002/aenm.201700099,25446,2c,31683,Pb1−xSbxTe_ x=0.5%,Pb0.995Sb0.005Te,850,,,13388,-0.00028838,1.4455,0.46882,,0.0000746938,0.0011133866,0.0007702432
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,350,,,30843,-0.00018181,2.1773,0.21824,,0.0000324223,0.0010195115,0.0004682458
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,400,,,29691,-0.00019032,2.085,0.27079,,0.0000336802,0.0010754586,0.0005158075
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,450,,,28539,-0.00019883,1.9928,0.32333,,0.0000350398,0.0011282428,0.0005661596
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,500,,,27387,-0.00020734,1.9005,0.37587,,0.0000365137,0.0011773637,0.0006195021
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,550,,,26235,-0.00021585,1.8083,0.42842,,0.000038117,0.0012223207,0.0006759502
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,600,,,25083,-0.00022436,1.7161,0.48096,,0.0000398676,0.0012626132,0.0007357457
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,650,,,23931,-0.00023287,1.6238,0.5335,,0.0000417868,0.0012977407,0.0007991999
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,700,,,22779,-0.00024138,1.5316,0.58605,,0.0000439001,0.0013272026,0.0008665465
18596,10.1002/aenm.201700099,25446,2c,31684,Pb1−xSbxTe_ x= 0.7%,Pb0.993Sb0.007Te,750,,,21627,-0.00024989,1.4393,0.63859,,0.0000462385,0.0013504983,0.0009383021
