sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,550,,,97251,0.43971,-0.00016075,1.3378,0.97843,0.0000102827,0.0025130205,0.0018784725
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,600,,,83237,0.39758,-0.00017043,1.2397,1.1029,0.0000120139,0.0024177339,0.0019502573
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,650,,,69222,0.35544,-0.00018012,1.1415,1.2275,0.0000144463,0.0022457842,0.0019673974
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,700,,,55208,0.31331,-0.00018981,1.0433,1.352,0.0000181133,0.0019890248,0.0019064744
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,750,,,41194,0.27117,-0.0001995,0.94516,1.4765,0.0000242754,0.0016395315,0.0017346603
27926,10.1039/c8ee00418h,25419,2a,31647, PbCuxSe_ x=0.00375, PbCu0.00375Se,800,,,27179,0.22904,-0.00020919,0.847,1.601,0.0000367931,0.0011893654,0.0014042095
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,350,1.3858e+25,0.065292,158700,0.87729,-0.00011941,2.0153,0.37024,0.0000063012,0.0022628633,0.0011228419
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,400,1.4291e+25,0.056868,145090,0.79544,-0.00012761,1.8927,0.497,0.0000068923,0.0023626908,0.0012483177
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,450,1.4724e+25,0.048443,131490,0.71358,-0.00013581,1.7702,0.62375,0.0000076051,0.0024252484,0.001370042
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,500,1.5157e+25,0.040019,117880,0.63173,-0.000144,1.6476,0.7505,0.0000084832,0.0024443597,0.0014835881
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,550,1.559e+25,0.031595,104270,0.54988,-0.0001522,1.5251,0.87725,0.0000095905,0.0024153979,0.0015837636
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,600,1.6023e+25,0.023171,90668,0.46803,-0.0001604,1.4025,1.004,0.0000110292,0.0023327208,0.001663259
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,650,1.6456e+25,0.014746,77061,0.38618,-0.00016859,1.28,1.1308,0.0000129767,0.0021902731,0.0017111508
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,700,1.6889e+25,0.006322,63455,0.30433,-0.00017679,1.1574,1.2575,0.0000157592,0.0019832672,0.0017135539
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,750,,,49849,0.22248,-0.00018499,1.0349,1.3843,0.0000200606,0.0017058976,0.0016483695
27926,10.1039/c8ee00418h,25419,2a,31648, PbCuxSe_ x=0.005, PbCu0.005Se,800,,,36242,0.14063,-0.00019318,0.91231,1.511,0.0000275923,0.0013524975,0.0014824978
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,350,1.3376e+25,0.066176,143390,1.0565,-0.00011603,2.087,0.29394,0.000006974,0.001930454,0.0009249899
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,400,1.4043e+25,0.057661,132850,0.94907,-0.00012304,1.9651,0.4101,0.0000075273,0.0020111951,0.0010234569
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,450,1.4709e+25,0.049147,122310,0.84162,-0.00013005,1.8432,0.52626,0.0000081759,0.0020686293,0.0011223032
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,500,1.5375e+25,0.040633,111770,0.73416,-0.00013706,1.7214,0.64242,0.0000089469,0.002099649,0.0012197334
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,550,1.6041e+25,0.032118,101230,0.62671,-0.00014407,1.5995,0.75858,0.0000098785,0.0021011466,0.0013136271
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,600,1.6707e+25,0.023604,90692,0.51925,-0.00015108,1.4776,0.87474,0.0000110263,0.00207006,0.001400961
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,650,1.7374e+25,0.01509,80153,0.4118,-0.00015809,1.3558,0.9909,0.0000124761,0.0020032197,0.0014775186
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,700,1.804e+25,0.0065755,69614,0.30434,-0.0001651,1.2339,1.1071,0.0000143649,0.0018975391,0.0015378386
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,750,,,59075,0.19689,-0.00017211,1.112,1.2232,0.0000169276,0.0017499109,0.0015736609
27926,10.1039/c8ee00418h,25419,2a,31649, PbCuxSe_ x=0.0075, PbCu0.0075Se,800,,,48536,0.089433,-0.00017912,0.99015,1.3394,0.0000206033,0.0015572278,0.0015727191
