sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6657,10.1063/1.1433911,3714,3_inset,4943,Ktotal,Eu0.42Co4Sb11.37Ge0.5,650,,,3.2183,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,50,,,0.60203,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,100,,,0.74714,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,150,,,0.89224,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,200,,,1.0373,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,250,,,1.1824,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,300,,,1.3275,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,350,,,1.4726,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,400,,,1.6177,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,450,,,1.7628,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,500,,,1.9079,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,550,,,2.053,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,600,,,2.1981,,,,
6657,10.1063/1.1433911,3714,3_inset,4944,Ke,Eu0.42Co4Sb11.37Ge0.5,650,,,2.3432,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,50,,,3.3947,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,100,,,3.1801,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,150,,,2.9655,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,200,,,2.7509,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,250,,,2.5363,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,300,,,2.3216,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,350,,,2.107,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,400,,,1.8924,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,450,,,1.6778,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,500,,,1.4632,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,550,,,1.2486,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,600,,,1.0339,,,,
6657,10.1063/1.1433911,3714,3_inset,4945,KL,Eu0.42Co4Sb11.37Ge0.5,650,,,0.81933,,,,
