sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Hall movility,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,400,,22412,,0.001114,-0.00022186,0.98132,0.51434,0.000044619,0.0011352056
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,450,,22960,,0.0012349,-0.00023284,0.95797,0.67134,0.000043554,0.00128908
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,500,,23508,,0.0013558,-0.0002414,0.93462,0.82834,0.0000425387,0.001450643
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,550,,24056,,0.0014767,-0.00024839,0.91126,0.98534,0.0000415697,0.0016205035
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,600,,24603,,0.0015976,-0.00025467,0.88791,1.1423,0.0000406454,0.0017992815
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,650,,25151,,0.0017185,-0.00026107,0.86455,1.2993,0.0000397599,0.0019877393
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,700,,25699,,0.0018394,-0.00026845,0.8412,1.4563,0.000038912,0.0021866381
21294,10.1073/pnas.1711725114,19701,FS1(a),24314,Mg3.1W0.1Sb1.5Bi0.49Te0.01,Mg3.1W0.1Sb1.5Bi0.49Te0.01,750,,26246,,0.0019603,-0.00027766,0.81784,1.6133,0.000038101,0.0023969236
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,350,,11429,,0.00053095,-0.00021159,0.86191,0.22578,0.0000874967,0.0006160156
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,400,,11925,,0.00060273,-0.00021972,0.86536,0.30578,0.0000838574,0.0006965078
21294,10.1073/pnas.1711725114,19701,FS1(a),24315,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,Mg3.1Ni0.1Sb1.5Bi0.49Te0.01,450,,12422,,0.00067452,-0.00022785,0.8688,0.38578,0.0000805023,0.0007763812
