sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,62,4.262e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,62.5,4.2618e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,63,4.2616e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,63.5,4.2614e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,64,4.2612e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,64.5,4.2611e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,65,4.2609e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,65.5,4.2607e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,66,4.2605e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,66.5,4.2603e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,67,4.2601e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,67.5,4.26e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,68,4.2598e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,68.5,4.2596e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,69,4.2594e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,69.5,4.2592e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,70,4.259e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,70.5,4.2588e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,71,4.2587e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,71.5,4.2585e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,72,4.2583e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,72.5,4.2581e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,73,4.2579e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,73.5,4.2577e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,74,4.2576e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,74.5,4.2574e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,75,4.2572e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,75.5,4.257e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,76,4.2568e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,76.5,4.2566e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,77,4.2564e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,77.5,4.2563e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,78,4.2561e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,78.5,4.2559e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,79,4.2557e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,79.5,4.2555e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,80,4.2553e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,80.5,4.2551e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,81,4.255e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,81.5,4.2548e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,82,4.2546e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,82.5,4.2544e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,83,4.2542e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,83.5,4.254e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,84,4.2539e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,84.5,4.2537e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,85,4.2535e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,85.5,4.2533e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,86,4.2531e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,86.5,4.2529e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,87,4.2527e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,87.5,4.2526e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,88,4.2524e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,88.5,4.2522e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,89,4.252e+24,,,,,,,
