sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,450,8.4483e+25,0.0025467,0.00028336,0.56279,0.00026135,0.58366,0.18728,3529.0796160361,0.0002410496,0.0004129967
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,500,9.4448e+25,0.0023818,0.00028081,0.53996,0.00026953,0.56553,0.23702,3561.1267405007,0.0002587031,0.0004574525
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,550,1.0441e+26,0.0022168,0.00027826,0.51713,0.00027772,0.54739,0.28675,3593.7612305038,0.000277181,0.0005063685
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,600,1.1438e+26,0.0020518,0.00027571,0.4943,0.00028591,0.52925,0.33648,3626.9993834101,0.0002964874,0.0005602028
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,650,1.2434e+26,0.0018869,0.00027315,0.47147,0.00029409,0.51111,0.38621,3660.9921288669,0.0003166353,0.0006195052
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,700,1.3431e+26,0.0017219,0.0002706,0.44864,0.00030228,0.49297,0.43594,3695.4915003695,0.0003376689,0.0006849684
27912,10.1002/adfm.201606361,25072,2(a),31218,Ca 9 Zn 4+x Sb 9_ x=0.7,Ca9Zn4.7Sb9,750,1.4427e+26,0.001557,0.00026805,0.42581,,0.47483,0.48568,3730.6472673009,,
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,350,6.5174e+25,0.0028654,0.00034726,0.5867,0.00024499,0.58381,0.09854,2879.6866900881,0.0001728391,0.0002960537
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,400,7.5186e+25,0.0027087,0.00034309,0.56377,0.00025408,0.56647,0.15382,2914.6871083389,0.0001881624,0.0003321666
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,450,8.5198e+25,0.0025521,0.00033892,0.54084,0.00026316,0.54914,0.2091,2950.5488020772,0.0002043349,0.0003720998
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,500,9.521e+25,0.0023955,0.00033474,0.51792,0.00027224,0.5318,0.26438,2987.3932006931,0.0002214095,0.0004163398
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,550,1.0522e+26,0.0022388,0.00033057,0.49499,0.00028133,0.51446,0.31966,3025.0778957558,0.0002394245,0.00046539
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,600,1.1523e+26,0.0020822,0.0003264,0.47206,0.00029041,0.49712,0.37494,3063.7254901961,0.0002583884,0.0005197706
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,650,1.2525e+26,0.0019255,0.00032223,0.44913,0.0002995,0.47978,0.43021,3103.3733668498,0.0002783734,0.0005802104
27912,10.1002/adfm.201606361,25072,2(a),31219,Ca 9 Zn 4+x Sb 9_ x=0.8,Ca9Zn4.8Sb9,700,1.3526e+26,0.0017689,0.00031806,0.4262,0.00030858,0.46244,0.48549,3144.0608690184,0.0002993826,0.0006473976
