sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,450,,,0.0000036263,-0.000068814,3.1692,0.21981,275763.1745856658,0.0013058397,0.0004120408
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,500,,,0.0000045065,-0.000081237,2.9206,0.29719,221901.6975479862,0.0014644292,0.0005014138
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,550,,,0.0000055768,-0.000092703,2.672,0.37456,179314.3021087362,0.0015409995,0.0005767214
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,600,,,0.0000068374,-0.00010335,2.4234,0.45194,146254.4241963319,0.001562176,0.0006446216
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,650,,,0.000008288,-0.00011375,2.1749,0.52932,120656.3706563707,0.0015611803,0.0007178171
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,700,,,0.0000099289,-0.00012453,1.9263,0.60669,100716.0914099246,0.001561877,0.0008108171
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,750,,,0.00001176,-0.000136,1.6777,0.68407,85034.0136054422,0.0015727891,0.0009374674
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,800,,,0.000013781,-0.00014773,1.4291,0.76145,72563.674624483,0.0015836407,0.0011081385
16681,10.1073/pnas.1111419109,25545,3b,31804,Br-PbSe_ 6E19,Br-PbSe,850,,,0.000015993,-0.00015821,,0.83883,62527.3557181267,0.001565085,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,5e+24,0.12404,,,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,1e+25,0.1165,,0.000096456,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,1.5e+25,0.10896,,0.00008834,,,,,
16681,10.1073/pnas.1111419109,26679,5b,33461,n-type PbSe,Pbse,,2e+25,0.10142,,0.000080225,,,,,
