sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,350,0.0000083791,,0.77285,0.0013966,0.000096116,1.5036,0.42513,119344.5596782471,0.0009288375
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,400,0.0000085663,,0.76234,0.0016107,0.00010676,1.5731,0.50634,116736.5140142185,0.0010239018
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,450,0.0000087338,,0.75183,0.0018248,0.00011741,1.6426,0.58755,114497.6985962582,0.0011109217
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,500,0.0000088817,,0.74132,0.0020389,0.00012805,1.7121,0.66876,112591.0580181722,0.0011908767
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,550,0.00000901,,0.73081,0.002253,0.0001387,1.7816,0.74997,110987.7913429523,0.0012645936
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,600,0.0000091186,,0.7203,0.002467,0.00014934,1.8511,0.83118,109665.9574934749,0.0013327211
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,650,0.0000092076,,0.70979,0.0026811,0.00015999,1.9206,0.91239,108605.9342282462,0.00139597
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,700,0.0000092769,,0.69928,0.0028952,0.00017063,1.9902,0.9936,107794.6296715498,0.0014547282
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,750,0.0000093266,,0.68877,0.0031093,0.00018128,2.0597,1.0748,107220.2088649669,0.0015095888
4605,10.1039/c4cp01294a,25686,2(a),32005,(In2Te3)x(GeTe)3-3x_ x=0.10,(In2Te3)0.1(GeTe)2.7,800,0.0000093567,,0.67826,0.0033234,0.00019193,2.1292,1.156,106875.2872273344,0.0015608679
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,50,0.000018585,0.0004619,,0.00038621,0.000064706,,,53806.8334678504,
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,100,0.000018074,0.00044569,,0.00054279,0.000073783,,,55328.0956069492,
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,150,0.000017564,0.00042949,,0.00069938,0.00008286,,,56934.6390343885,
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,200,0.000017053,0.00041329,,0.00085596,0.000091938,,,58640.7083797572,
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,250,0.000016543,0.00039709,,0.0010125,0.00010102,,,60448.5280783413,
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,300,0.000016032,,,0.0011691,0.00011009,,,62375.249500998,
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,350,0.000015521,,0.7619,0.0013257,0.00011917,1.0868,0.60044,64428.8383480446,0.0012198197
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,400,0.000015011,,0.7983,0.0014823,0.00012825,1.2207,0.62607,66617.8136033575,0.0012143033
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,450,0.0000145,,0.83471,0.0016389,0.00013732,1.3547,0.6517,68965.5172413793,0.0012097881
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,500,0.00001399,,0.87111,0.0017955,0.0001464,1.4887,0.67733,71479.6283059328,0.0012060858
4605,10.1039/c4cp01294a,25686,2(a),32006,(In2Te3)x(GeTe)3-3x_ x=0.15,(In2Te3)0.15(GeTe)2.55,550,0.000013479,,0.90752,0.001952,0.00015548,1.6227,0.70295,74189.4799317457,0.0012029334
