sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27942,10.1039/c9ee00317g,25669,5(a),31982,BiyGe1.04-yTe_ y=0.01,undefined,300,,,,,,3.9916,,,,
27942,10.1039/c9ee00317g,25667,4(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,350,,0.0000063093,,,0.00013527,2.4761,0.42181,158496.1881666746,0.002900159,0.0011712608
27942,10.1039/c9ee00317g,25667,4(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,400,,0.0000071833,,,0.00015067,2.3527,0.62949,139211.7828853034,0.0031603092,0.0013432691
27942,10.1039/c9ee00317g,25667,4(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,450,,0.0000080573,,,0.00016607,2.2294,0.83717,124111.0545716307,0.0034228892,0.001535341
27942,10.1039/c9ee00317g,25667,4(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,500,,0.0000089313,,,0.00018147,2.106,1.0449,111965.7832566368,0.0036871856,0.0017508004
27942,10.1039/c9ee00317g,25667,4(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,550,,0.0000098053,,,0.00019687,1.9827,1.2525,101985.6608160893,0.0039527395,0.0019936145
27942,10.1039/c9ee00317g,25667,4(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,600,,0.000010679,,,0.00021228,1.8593,1.4602,93641.7267534413,0.0042197583,0.0022695414
27942,10.1039/c9ee00317g,25667,4(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,650,,0.000011553,,,0.00022768,1.736,1.6679,86557.6040855189,0.0044869889,0.002584671
27942,10.1039/c9ee00317g,25667,4(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,700,,0.000012427,,,0.00024308,1.6126,1.8756,80469.9444757383,0.0047547989,0.0029485297
27942,10.1039/c9ee00317g,25669,5(a),31983,BiyGe1.04-yTe_ y=0.03,undefined,300,,,,,,2.5994,,,,
27942,10.1039/c9ee00317g,25667,4(a),31984,BiyGe1.04-yTe_ y=0.05,undefined,350,,0.000010895,,1.3991,0.00015982,1.6571,0.512,91785.2225791648,0.0023444178,0.0014147715
