sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,650,,,,,0.63947,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,700,,,,,0.71606,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,750,,,,,0.79265,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,800,,,,,0.86924,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,850,,,,,0.94583,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,900,,,,,1.0224,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,950,,,,,1.099,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,1000,,,,,1.1756,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,1050,,,,,1.2522,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,1100,,,,,1.3288,,,,
27925,10.1002/advs.201600035,25414,1c,31639,Fe1.05Nb0.75Ti0.25Sb-BM,Fe1.05Nb0.75Ti0.25Sb-BM,1150,,,,,1.4054,,,,
