sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Power factor,Thermal conductivity,ZT,Lattice thermal conductivity,Electrical resistivity,Figure of merit Z
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,600,26280,0.00015286,0.00059072,0.51683,0.55988,0.29672,0.0000380518,0.0011429677
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,650,24286,0.00015974,0.00059094,0.50206,0.61835,0.28649,0.000041176,0.0011770306
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,700,22293,0.00016662,0.00059116,0.48728,0.67683,0.27626,0.0000448571,0.0012131834
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,750,20299,0.0001735,0.00059138,0.4725,0.73531,0.26603,0.0000492635,0.0012515979
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,800,18305,0.00018038,0.0005916,0.45773,0.79378,0.2558,0.0000546299,0.001292465
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,850,16311,0.00018726,0.00059182,0.44295,0.85226,0.24557,0.0000613083,0.0013360876
7964,10.1039/c2ee22622g,17501,3a,21019,8E20,Bi0.90Ba0.10CuSeO,900,14317,0.00019414,0.00059204,0.42817,0.91073,0.23535,0.000069847,0.0013827218
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,350,39743,0.000098088,0.00040009,0.63232,0.11032,0.32159,0.0000251617,0.0006327334
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,400,37581,0.00010617,0.00042311,0.61573,0.18794,0.31261,0.0000266092,0.0006871681
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,450,35418,0.00011425,0.00044613,0.59915,0.26555,0.30362,0.0000282342,0.0007446049
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,500,33256,0.00012232,0.00046916,0.58257,0.34317,0.29464,0.0000300698,0.0008053281
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,550,31093,0.0001304,0.00049218,0.56598,0.42078,0.28566,0.0000321616,0.0008696067
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,600,28931,0.00013848,0.00051521,0.5494,0.4984,0.27668,0.000034565,0.0009377685
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,650,26769,0.00014656,0.00053823,0.53282,0.57601,0.2677,0.0000373566,0.0010101535
7964,10.1039/c2ee22622g,17501,3a,21020,1E21,Bi0.875Ba0.125CuSeO,700,24606,0.00015464,0.00056125,0.51623,0.65363,0.25872,0.0000406405,0.0010872092
