sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,400,0.00067038,99603,0.00019625,4.1466,0.38391,0.0000100399,0.0038361162,0.0009251233
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,450,0.00059366,92725,0.00020256,4.0882,0.41693,0.0000107846,0.0038045581,0.0009306194
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,500,0.00051695,85848,0.00020886,4.0299,0.44996,0.0000116485,0.0037449043,0.0009292797
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,550,0.00044024,78970,0.00021516,3.9715,0.48299,0.000012663,0.0036558234,0.0009205145
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,600,0.00036352,72092,0.00022147,3.9132,0.51602,0.0000138712,0.0035360377,0.0009036179
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,650,0.00028681,65214,0.00022777,3.8548,0.54905,0.0000153341,0.0033832484,0.0008776716
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,700,0.0002101,58337,0.00023408,3.7965,0.58207,0.0000171418,0.0031964853,0.0008419558
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,750,0.00013338,51459,0.00024038,3.7381,0.6151,0.0000194329,0.002973432,0.0007954394
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,800,,44581,0.00024668,3.6798,0.64813,0.0000224311,0.0027127994,0.0007372138
5936,10.1002/aenm.201400600,25508,2a,31758,Fe(V0.6Nb0.4)1−xTixSb_ x=0.10,Fe(V0.6Nb0.4)0.90Ti0.10Sb,850,,37703,0.00025299,3.6214,0.68116,0.0000265231,0.0024131406,0.0006663557
