sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
859,10.1039/c0ee00456a,25543,2,31794,PbTe:Na_ 9.0e19,undefined,700,,0.00020128,,,,,,
859,10.1039/c0ee00456a,25543,2,31795,PbTe:Na_ 1.4e20,undefined,350,,0.009775,,,,,,
859,10.1039/c0ee00456a,25543,2,31795,PbTe:Na_ 1.4e20,undefined,400,,0.0084476,,,,,,
859,10.1039/c0ee00456a,25543,2,31795,PbTe:Na_ 1.4e20,undefined,450,,0.0071201,,,,,,
859,10.1039/c0ee00456a,25543,2,31795,PbTe:Na_ 1.4e20,undefined,500,,0.0057926,,,,,,
859,10.1039/c0ee00456a,25543,2,31795,PbTe:Na_ 1.4e20,undefined,550,,0.0044652,,,,,,
859,10.1039/c0ee00456a,25543,2,31795,PbTe:Na_ 1.4e20,undefined,600,,0.0031377,,,,,,
859,10.1039/c0ee00456a,25543,2,31795,PbTe:Na_ 1.4e20,undefined,650,,0.0018103,,,,,,
859,10.1039/c0ee00456a,25543,2,31795,PbTe:Na_ 1.4e20,undefined,700,,0.00048279,,,,,,
859,10.1039/c0ee00456a,25543,2,31796,PbTe:Tl_ 2.6e19,undefined,350,,0.0072541,,,,,,
859,10.1039/c0ee00456a,25543,2,31796,PbTe:Tl_ 2.6e19,undefined,400,,0.0059334,,,,,,
859,10.1039/c0ee00456a,25543,2,31796,PbTe:Tl_ 2.6e19,undefined,450,,0.0046127,,,,,,
859,10.1039/c0ee00456a,25543,2,31796,PbTe:Tl_ 2.6e19,undefined,500,,0.003292,,,,,,
859,10.1039/c0ee00456a,25543,2,31796,PbTe:Tl_ 2.6e19,undefined,550,,0.0019714,,,,,,
859,10.1039/c0ee00456a,25543,2,31797,PbTe:Tl_ 5.3e19,undefined,350,,0.0044776,,,,,,
859,10.1039/c0ee00456a,25543,2,31797,PbTe:Tl_ 5.3e19,undefined,400,,0.0039033,,,,,,
859,10.1039/c0ee00456a,25543,2,31797,PbTe:Tl_ 5.3e19,undefined,450,,0.0033291,,,,,,
859,10.1039/c0ee00456a,25543,2,31797,PbTe:Tl_ 5.3e19,undefined,500,,0.0027549,,,,,,
859,10.1039/c0ee00456a,25543,2,31797,PbTe:Tl_ 5.3e19,undefined,550,,0.0021807,,,,,,
859,10.1039/c0ee00456a,25543,2,31797,PbTe:Tl_ 5.3e19,undefined,600,,0.0016064,,,,,,
859,10.1039/c0ee00456a,25543,2,31797,PbTe:Tl_ 5.3e19,undefined,650,,0.0010322,,,,,,
859,10.1039/c0ee00456a,25543,2,31797,PbTe:Tl_ 5.3e19,undefined,700,,0.00045797,,,,,,
