sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,total thermal conductivity,Electrical conductivity,Power factor
14598,10.1038/ncomms10287,20728,3a,25692,p-tellurium 3.00*10^19,p-tellurium,400,0.000142,,1.2009,0.00012289,,1.7317,7042.2535211268,0.0001063518
14598,10.1038/ncomms10287,20728,3a,25692,p-tellurium 3.00*10^19,p-tellurium,450,0.00018831,,1.0879,0.00014741,,1.5583,5310.3924380012,0.0001153933
14598,10.1038/ncomms10287,20728,3a,25692,p-tellurium 3.00*10^19,p-tellurium,500,0.00023462,,0.97489,0.00017084,,1.3849,4262.2112351888,0.0001243982
14598,10.1038/ncomms10287,20728,3a,25692,p-tellurium 3.00*10^19,p-tellurium,550,0.00028093,,0.8619,0.00019319,,1.2115,3559.6055957,0.0001328529
14598,10.1038/ncomms10287,20728,3a,25692,p-tellurium 3.00*10^19,p-tellurium,600,0.00032723,,0.74891,0.00021445,,1.0382,3055.9545273966,0.0001405397
14598,10.1038/ncomms10287,20730,3c,25692,p-tellurium 3.00*10^19,p-tellurium,650,,,,,,0.86481,,
14598,10.1038/ncomms10287,20728,3a,25693,p-tellurium 2.65*10^19,p-tellurium,350,0.000063823,,1.2562,0.00012742,,1.8116,15668.3327327139,0.0002543888
14598,10.1038/ncomms10287,20728,3a,25693,p-tellurium 2.65*10^19,p-tellurium,400,0.00012585,,1.147,0.00014876,,1.6421,7945.9674215336,0.0001758406
14598,10.1038/ncomms10287,20728,3a,25693,p-tellurium 2.65*10^19,p-tellurium,450,0.00018788,,1.0377,0.00017011,,1.4726,5322.5463061529,0.0001540207
14598,10.1038/ncomms10287,20728,3a,25693,p-tellurium 2.65*10^19,p-tellurium,500,0.00024991,,0.92849,0.00019145,,1.303,4001.4405185867,0.0001466652
14598,10.1038/ncomms10287,20728,3a,25693,p-tellurium 2.65*10^19,p-tellurium,550,0.00031194,,0.81925,0.0002128,,1.1335,3205.7446944925,0.0001451684
14598,10.1038/ncomms10287,20728,3a,25693,p-tellurium 2.65*10^19,p-tellurium,600,0.00037396,,0.71002,0.00023414,,0.96403,2674.0827896032,0.0001465973
14598,10.1038/ncomms10287,20728,3a,25693,p-tellurium 2.65*10^19,p-tellurium,650,0.00043599,,,0.00025549,,0.79453,2293.6305878575,0.0001497171
14598,10.1038/ncomms10287,20728,3a,25694,p-tellurium 2.01*10^19,p-tellurium,350,0.00011992,,1.2604,0.00014219,,1.6695,8338.8925950634,0.0001685957
14598,10.1038/ncomms10287,20728,3a,25694,p-tellurium 2.01*10^19,p-tellurium,400,0.00019487,,1.1488,0.00016435,,1.5145,5131.6262123467,0.00013861
14598,10.1038/ncomms10287,20728,3a,25694,p-tellurium 2.01*10^19,p-tellurium,450,0.00026983,,1.0371,0.00018651,,1.3595,3706.0371344921,0.0001289181
14598,10.1038/ncomms10287,20728,3a,25694,p-tellurium 2.01*10^19,p-tellurium,500,0.00034478,,0.92548,0.00020866,,1.2044,2900.4002552352,0.0001262805
14598,10.1038/ncomms10287,20728,3a,25694,p-tellurium 2.01*10^19,p-tellurium,550,0.00041974,,0.81383,0.00023082,,1.0494,2382.4272168485,0.0001269307
14598,10.1038/ncomms10287,20728,3a,25694,p-tellurium 2.01*10^19,p-tellurium,600,0.00049469,,0.70218,0.00025297,,0.89443,2021.4679900544,0.0001293615
14598,10.1038/ncomms10287,20730,3c,25694,p-tellurium 2.01*10^19,p-tellurium,650,,,,,,0.73942,,
14598,10.1038/ncomms10287,20728,3a,25695,p-tellurium 1.69*10^18,p-tellurium,350,0.00013129,,1.3653,0.00026651,,1.4454,7616.7263310229,0.0005409976
14598,10.1038/ncomms10287,20728,3a,25695,p-tellurium 1.69*10^18,p-tellurium,400,0.00014043,,1.2776,0.00026509,,1.3636,7120.9855443993,0.0005004109
14598,10.1038/ncomms10287,20728,3a,25695,p-tellurium 1.69*10^18,p-tellurium,450,0.00014958,,1.1899,0.00026366,,1.2819,6685.3857467576,0.0004647453
14598,10.1038/ncomms10287,20728,3a,25695,p-tellurium 1.69*10^18,p-tellurium,500,0.00015872,,1.1023,0.00026223,,1.2001,6300.4032258065,0.0004332445
14598,10.1038/ncomms10287,20728,3a,25695,p-tellurium 1.69*10^18,p-tellurium,550,0.00016787,,1.0146,0.00026081,,1.1184,5956.9905283851,0.0004052056
14598,10.1038/ncomms10287,20728,3a,25695,p-tellurium 1.69*10^18,p-tellurium,600,0.00017701,,0.92693,0.00025938,,1.0366,5649.3983390769,0.0003800801
14598,10.1038/ncomms10287,20728,3a,25695,p-tellurium 1.69*10^18,p-tellurium,650,0.00018616,,,0.00025796,,0.95489,5371.7232488182,0.0003574525
14598,10.1038/ncomms10287,20729,3b,25695,p-tellurium 1.69*10^18,p-tellurium,300,0.00012214,,,,,,8187.3260193221,
