sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,Electrical conductivity,Power factor
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,600,1.5405e+27,0.000014878,0.00035209,0.73054,0.000090863,0.27285,67213.3351256889,0.000554919
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,650,1.622e+27,0.000016435,0.0002888,0.6478,0.000099132,0.32262,60845.7560085184,0.0005979406
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,700,1.7034e+27,0.000017992,0.00022551,0.56506,0.00010713,0.37238,55580.2578923966,0.0006378856
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,750,1.7849e+27,0.000019549,0.00016222,0.48232,0.00011489,0.42215,51153.5116885774,0.0006752116
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,800,1.8664e+27,0.000021107,0.000098927,0.39958,0.00012255,0.47191,47377.6472260388,0.0007115413
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,850,,,,0.31685,,,,
27920,10.1016/j.jallcom.2018.04.214,25331,6(a),31553,Cu3.7Zn0.3Mn2Te4,undefined,300,,,,,,-0.025743,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,350,9.7101e+26,0.0000059699,0.00087077,0.80031,0.000036866,0.0073428,167506.9934169752,0.0002276591
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,400,1.0945e+27,0.0000072096,0.00078682,0.74803,0.000044747,0.053281,138703.9502885042,0.0002777261
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,450,1.218e+27,0.0000084492,0.00070287,0.69575,0.000052628,0.09922,118354.4004166075,0.0003278069
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,500,1.3415e+27,0.0000096888,0.00061892,0.64346,0.000060509,0.14516,103211.9560729915,0.000377894
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,550,1.4651e+27,0.000010928,0.00053497,0.59118,0.00006839,0.1911,91508.0527086384,0.0004280007
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,600,1.5886e+27,0.000012168,0.00045101,0.5389,0.000076271,0.23704,82182.7744904668,0.000478079
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31554,Cu4Mn1.7Fe0.3Te4,undefined,650,1.7121e+27,0.000013408,0.00036706,0.48661,0.000084152,0.28297,74582.338902148,0.0005281592
