sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,550,10831,,0.00023372,0.87732,0.39146,0.0000923276,0.0005916438,0.0006743763
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,600,9582.5,,0.00024326,0.82346,0.42855,0.0001043569,0.0005670485,0.000688617
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,650,8334.2,,0.0002528,0.76959,0.46564,0.0001199875,0.0005326207,0.0006920837
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,700,7086,,0.00026234,0.71572,0.50272,0.0001411233,0.0004876746,0.0006813763
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,750,5837.8,,0.00027188,0.66186,0.53981,0.0001712974,0.0004315228,0.000651985
27923,10.1021/acs.inorgchem.8b00301,25378,7(d),31599,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.1,undefined,300,,,,1.1467,,,,
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31600,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.2,undefined,350,11570,,0.00017393,1.2042,0.10173,0.0000864304,0.0003500115,0.000290659
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31600,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.2,undefined,400,10740,,0.00018184,1.1299,0.12572,0.0000931099,0.0003551265,0.0003142991
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31600,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.2,undefined,450,9908.9,,0.00018976,1.0557,0.15817,0.0001009194,0.0003568082,0.0003379825
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31600,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.2,undefined,500,9078.1,,0.00019768,0.98149,0.19881,0.0001101552,0.0003547484,0.0003614386
27923,10.1021/acs.inorgchem.8b00301,25370,7(a)(0-200),31600,Cu4−nInnMn2+mTe4_ m=0.2_ n=0.2,undefined,550,8247.3,,0.0002056,0.90726,0.23946,0.0001212518,0.0003486246,0.0003842609
