sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,900,,0.000042901,0.00014478,0.78847,0.61618,23309.479965502,0.0004885958,0.0006196758
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,950,,0.0000447,0.00015216,0.77877,0.67488,22371.3646532438,0.0005179567,0.0006650959
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,1000,,0.000046465,0.00015953,0.76908,0.73358,21521.5753793178,0.0005477202,0.0007121759
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,1050,,0.000048194,0.00016691,0.75939,0.79228,20749.4708884923,0.0005780584,0.0007612142
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,1100,,0.000049888,0.00017428,0.7497,0.85098,20044.9005772931,0.0006088342,0.0008121037
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,1150,,0.000051546,0.00018165,0.74001,0.90968,19400.1474411206,0.0006401413,0.0008650441
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,1200,,0.000053169,0.00018903,0.73031,0.96838,18807.9520021065,0.0006720522,0.0009202286
305,10.1063/1.2970089,4707,3(a),5985,Yb14MnSb11,Yb14MnSb11,1250,,,0.0001964,,,,,
305,10.1063/1.2970089,4709,5,5985,Yb14MnSb11,Yb14MnSb11,300,,,,,-0.088216,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.4e+26,,0.00017641,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.45e+26,,0.00017606,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.5e+26,,0.0001757,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.55e+26,,0.00017535,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.6e+26,,0.000175,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.65e+26,,0.00017465,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.7e+26,,0.00017429,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.75e+26,,0.00017394,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.8e+26,,0.00017359,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.85e+26,,0.00017323,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.9e+26,,0.00017288,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,1.95e+26,,0.00017253,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2e+26,,0.00017217,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.05e+26,,0.00017182,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.1e+26,,0.00017147,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.15e+26,,0.00017112,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.2e+26,,0.00017076,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.25e+26,,0.00017041,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.3e+26,,0.00017006,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.35e+26,,0.0001697,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.4e+26,,0.00016935,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.45e+26,,0.000169,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.5e+26,,0.00016865,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.55e+26,,0.00016829,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.6e+26,,0.00016794,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.65e+26,,0.00016759,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.7e+26,,0.00016723,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.75e+26,,0.00016688,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.8e+26,,0.00016653,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.85e+26,,0.00016617,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.9e+26,,0.00016582,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,2.95e+26,,0.00016547,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3e+26,,0.00016512,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.05e+26,,0.00016476,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.1e+26,,0.00016441,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.15e+26,,0.00016406,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.2e+26,,0.0001637,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.25e+26,,0.00016335,,,,,
305,10.1063/1.2970089,27494,3(b),33143, Yb14Mn1−xAlxSb11 ,undefined,,3.3e+26,,0.000163,,,,,
