sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Power factor,Figure of merit Z
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,350,1.5927e+26,61091,0.000016369,0.0023068,2.5446,0.00011518,2.8378,0.096687,0.0008104596,0.0002855943
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,400,1.7043e+26,55426,0.000018042,0.0020841,2.2803,0.00012889,2.5969,0.17427,0.0009207717,0.0003545657
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,450,1.8159e+26,50725,0.000019714,0.0018615,2.016,0.00014229,2.3561,0.25186,0.0010270009,0.0004358902
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,500,1.9276e+26,46757,0.000021387,0.0016388,1.7517,0.00015548,2.1152,0.32945,0.0011303051,0.0005343727
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,550,2.0392e+26,43367,0.000023059,0.0014162,1.4874,0.00016854,1.8744,0.40703,0.0012318714,0.0006572084
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,600,2.1508e+26,40433,0.000024732,0.0011935,1.2231,0.00018154,1.6335,0.48462,0.0013325411,0.0008157583
2795,10.1039/c4ta01957a,11387,4a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,650,2.2625e+26,37873,0.000026404,0.00097086,,0.00019454,1.3927,0.56221,0.0014333344,0.0010291767
2795,10.1039/c4ta01957a,11390,9a,13633,Cu2.95Sb1-xSnxSe4 (x=0.03),Cu2.95Sb0.97Sn0.03Se4,300,,,,,2.809,,3.0786,,,
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,350,2.2735e+26,83556,0.000011968,0.002265,2.7405,0.00010411,3.199,0.10298,0.0009056545,0.0002831055
2795,10.1039/c4ta01957a,11387,4a,13634,Cu2.95Sb1-xSnxSe4 (x=0.04),Cu2.95Sb0.96Sn0.04Se4,400,2.3246e+26,74036,0.000013507,0.0020542,2.4487,0.00011749,2.9026,0.1662,0.0010219855,0.0003520931
