sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall concentration,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,322.5,45528,21474000000000,,,0.85124,0.0000219645,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,323,45493,21507000000000,,,0.85086,0.0000219814,,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,323.5,45458,21539000000000,-0.00023158,,0.85049,0.0000219983,0.0024378806,
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,324,45423,21571000000000,-0.00023152,0.82361,0.85011,0.0000220153,0.0024347414,0.0029561824
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,324.5,45388,21603000000000,-0.00023146,0.82438,0.84973,0.0000220323,0.0024316045,0.0029496161
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,325,45353,21636000000000,-0.00023141,0.82516,0.84936,0.0000220493,0.0024286798,0.0029432835
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,325.5,45318,21668000000000,-0.00023135,0.82594,0.84898,0.0000220663,0.0024255473,0.0029367112
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,326,45283,21700000000000,-0.00023129,0.82671,0.84861,0.0000220833,0.002422417,0.0029301895
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,326.5,45248,21732000000000,-0.00023123,0.82749,0.84823,0.0000221004,0.002419289,0.0029236474
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,327,45213,21765000000000,-0.00023118,0.82826,0.84786,0.0000221175,0.0024163723,0.0029174079
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,327.5,45178,21797000000000,-0.00023112,0.82904,0.84748,0.0000221347,0.0024132486,0.0029108952
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,328,45143,21829000000000,-0.00023106,0.82982,0.84711,0.0000221518,0.0024101271,0.0029043975
27908,10.1039/c8ee03374a,24908,Figure 2A,31059,Mg3.05(Sb0.3Bi0.7)2-􏰀yTey_ y=0.0025,undefined,328.5,45108,21861000000000,-0.000231,0.83059,0.84673,0.000022169,0.002407008,0.0028979496
