sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,350,0.0000072876,0.004981,0.00011336,1.7204,0.4752,137219.3863549042,0.0017633363,0.0010249572
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,400,0.0000085282,0.0043188,0.00013038,1.6419,0.62971,117258.0380385075,0.0019932629,0.0012139977
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,450,0.0000097687,0.0036567,0.00014739,1.5634,0.78422,102367.7664377041,0.0022238181,0.0014224243
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,500,0.000011009,0.0029945,0.00016441,1.485,0.93874,90834.7715505495,0.0024553227,0.001653416
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,550,0.00001225,0.0023323,0.00018142,1.4065,1.0932,81632.6530612245,0.0026867932,0.0019102689
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,600,0.00001349,0.0016701,0.00019844,1.328,1.2478,74128.9844329133,0.0029190833,0.0021981049
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,650,0.000014731,0.001008,0.00021545,1.2495,1.4023,67884.054035707,0.0031510897,0.0025218805
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,700,0.000015972,0.00034581,0.00023247,1.171,1.5568,62609.5667417982,0.003383565,0.0028894663
18654,10.1038/am.2017.8,25601,3(b),31879,BixGe1−xTe_ 1.87e20,undefined,750,0.000017212,-0.00031636,0.00024948,,1.7113,58099.000697188,0.0036160975,
18654,10.1038/am.2017.8,25604,5(b),31879,BixGe1−xTe_ 1.87e20,undefined,800,0.000018453,,,,,54191.7303419498,,
18654,10.1038/am.2017.8,25601,3(b),31880,BixGe1−xTe_ 1.45e20,undefined,350,0.000014697,0.0036439,0.00014899,1.2645,0.48256,68041.0968224808,0.0015103776,0.0011944465
