sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,S,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Electrical resistivity,Figure of merit Z
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,315,122.54,,,-0.000034589,,0.00036044,0.49809,0.19611,,0.0081606006,-0.0000694433
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,320,134.23,,,-0.000032557,,0.000361,0.49657,0.19855,,0.0074498994,-0.0000655638
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,325,145.92,,,-0.000030525,,0.00036156,0.49505,0.20098,,0.0068530702,-0.0000616604
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,330,157.61,,,-0.000028492,,0.00036212,0.49353,0.20342,,0.0063447751,-0.000057731
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,335,169.3,,,-0.00002646,,0.00036268,0.49201,0.20585,,0.0059066745,-0.0000537794
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,340,180.99,,,-0.000024427,,0.00036324,0.49048,0.20828,,0.0055251671,-0.0000498022
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,345,192.68,,,-0.000022395,,0.0003638,0.48896,0.21072,,0.0051899523,-0.0000458013
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,350,204.37,,,-0.000020363,,0.00036436,0.48744,0.21315,,0.0048930861,-0.0000417754
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,355,216.06,,,-0.00001833,,0.00036492,0.48592,0.21558,,0.004628344,-0.0000377223
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,360,227.75,,,-0.000016298,,0.00036549,0.4844,0.21802,,0.0043907794,-0.0000336457
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,365,239.44,,,-0.000014265,,0.00036605,0.48288,0.22045,,0.0041764116,-0.0000295415
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,370,251.13,,,-0.000012233,,0.00036661,0.48135,0.22289,,0.0039820014,-0.0000254139
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,375,262.82,,,-0.000010201,,0.00036717,0.47983,0.22532,,0.0038048855,-0.0000212596
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,380,274.51,,,-0.0000081683,,0.00036773,0.47831,0.22775,,0.0036428545,-0.0000170774
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,385,286.2,,,-0.0000061359,,0.00036829,0.47679,0.23019,,0.0034940601,-0.0000128692
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,390,297.89,,,-0.0000041035,,0.00036885,0.47527,0.23262,,0.0033569438,-0.000008634
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,395,309.58,,,-0.0000020711,,0.00036941,0.47374,0.23505,,0.0032301828,-0.0000043718
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,400,321.27,,,-3.87e-8,,0.00036998,0.47222,0.23749,,0.0031126467,-8.19e-8
7964,10.1039/c2ee22622g,17501,3a,21015,1E18,undefined,405,332.96,,,0.0000019937,,0.00037054,0.4707,0.23992,,0.0030033638,0.0000042356
