sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,350,0.00008005,-0.00026636,2.9574,0.0077436,12492.1923797626,0.0008862917,0.0002996861
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,400,0.000073272,-0.00026904,3.0477,0.0088044,13647.7781417185,0.0009878606,0.0003241331
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,450,0.000066494,-0.00027172,3.1381,0.0098651,15038.9508827864,0.0011103522,0.0003538294
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,500,0.000059716,-0.00027441,3.2284,0.010926,16745.9307388305,0.0012609828,0.0003905906
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,550,0.000052938,-0.00027709,3.3187,0.011987,18890.0222902263,0.0014503545,0.0004370249
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,600,0.00004616,-0.00027977,3.4091,0.013047,21663.7781629116,0.0016956511,0.0004973897
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,650,0.000039383,-0.00028245,3.4994,0.014108,25391.6664550694,0.0020256964,0.0005788696
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,700,0.000032605,-0.00028513,3.5898,0.015169,30670.1426161632,0.0024934555,0.0006945945
27911,10.1016/j.actamat.2016.10.077,24985,2(g),31130,Mg2-xLaxSn0.75Ge0.25_ x=0.03,undefined,300,,-0.00026368,,,,,
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31131,Mg2-xLaxSn0.75Ge0.25_ x=0.04,undefined,350,0.000052609,-0.00026638,3.185,0.0086136,19008.1544982798,0.0013487864,0.0004234808
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31131,Mg2-xLaxSn0.75Ge0.25_ x=0.04,undefined,400,0.000049096,-0.00026924,3.2724,0.0096476,20368.2581065667,0.0014764986,0.0004511975
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31131,Mg2-xLaxSn0.75Ge0.25_ x=0.04,undefined,450,0.000045582,-0.00027211,3.3599,0.010682,21938.4844894915,0.0016244099,0.0004834697
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31131,Mg2-xLaxSn0.75Ge0.25_ x=0.04,undefined,500,0.000042068,-0.00027497,3.4473,0.011715,23771.0373680707,0.0017972925,0.0005213624
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31131,Mg2-xLaxSn0.75Ge0.25_ x=0.04,undefined,550,0.000038555,-0.00027784,3.5348,0.012749,25936.9731552328,0.0020022063,0.0005664271
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31131,Mg2-xLaxSn0.75Ge0.25_ x=0.04,undefined,600,0.000035041,-0.0002807,3.6223,0.013783,28537.9983447961,0.0022485799,0.0006207603
27911,10.1016/j.actamat.2016.10.077,24984,2(f),31131,Mg2-xLaxSn0.75Ge0.25_ x=0.04,undefined,650,0.000031528,-0.00028357,3.7097,0.014817,31717.8381121543,0.0025504931,0.00068752
