sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Figure of merit Z
872,10.1039/c4ee03042g,8685,3(a),10604,x=0.12,FeNb0.88Ti0.12Sb,300,,661710,0.0000015112,,0.0077798,0.00010843,10.088,0.23136,0.0007711935
872,10.1039/c4ee03042g,8879,2(a),10604,x=0.12,FeNb0.88Ti0.12Sb,50,,937320,0.0000010669,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10604,x=0.12,FeNb0.88Ti0.12Sb,100,,882200,0.0000011335,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10604,x=0.12,FeNb0.88Ti0.12Sb,150,,827080,0.0000012091,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10604,x=0.12,FeNb0.88Ti0.12Sb,200,,771960,0.0000012954,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10604,x=0.12,FeNb0.88Ti0.12Sb,250,,716830,0.000001395,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10604,x=0.12,FeNb0.88Ti0.12Sb,1100,,-220250,-0.0000045403,,,,,,
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,350,,526320,0.0000019,,0.0044488,0.000091938,7.7902,0.13673,0.0005710765
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,400,,481670,0.0000020761,,0.0049789,0.00010167,7.5366,0.19548,0.0006606295
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,450,,437020,0.0000022882,,0.0054712,0.00011189,7.283,0.25424,0.0007512289
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,500,,392370,0.0000025486,,0.0058678,0.00012229,7.0294,0.31299,0.0008347512
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,550,,347720,0.0000028759,,0.0061176,0.00013264,6.7758,0.37175,0.0009028602
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,600,,303070,0.0000032996,,0.0061776,0.00014277,6.5222,0.4305,0.0009471651
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,650,,258420,0.0000038697,,0.0060154,0.00015257,6.2686,0.48926,0.0009596082
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,700,,213770,0.0000046779,,0.0056081,0.00016197,6.015,0.54802,0.0009323525
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,750,,169120,0.000005913,,0.0049406,0.00017092,5.7614,0.60677,0.0008575346
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,800,,124470,0.0000080341,,0.0040055,0.00017939,5.5078,0.66553,0.0007272414
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,850,,79824,0.000012528,,0.0028021,0.00018736,5.2542,0.72428,0.0005333067
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,900,,35174,0.00002843,,0.0013343,0.00019477,5.0006,0.78304,0.000266828
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,950,,-9475.5,-0.00010554,,-0.00038496,0.00020156,4.747,0.84179,-0.0000810954
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,1000,,-54125,-0.000018476,,-0.0023336,0.00020764,4.4934,0.90055,-0.0005193395
872,10.1039/c4ee03042g,8684,1(d),10605,x=0.16,FeNb0.84Ti0.16Sb,1050,,-98775,-0.000010124,,-0.0044754,0.00021286,4.2398,0.9593,-0.0010555687
872,10.1039/c4ee03042g,8685,3(a),10605,x=0.16,FeNb0.84Ti0.16Sb,300,,570970,0.0000017514,,0.0039425,0.000083096,8.0438,0.14704,0.000490129
872,10.1039/c4ee03042g,8685,3(a),10605,x=0.16,FeNb0.84Ti0.16Sb,1100,,,,,,,3.9862,,
872,10.1039/c4ee03042g,8879,2(a),10605,x=0.16,FeNb0.84Ti0.16Sb,50,,794220,0.0000012591,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10605,x=0.16,FeNb0.84Ti0.16Sb,100,,749570,0.0000013341,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10605,x=0.16,FeNb0.84Ti0.16Sb,150,,704920,0.0000014186,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10605,x=0.16,FeNb0.84Ti0.16Sb,200,,660270,0.0000015145,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10605,x=0.16,FeNb0.84Ti0.16Sb,250,,615620,0.0000016244,,,,,,
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,350,,528280,0.0000018929,,0.0032303,0.000078197,6.6535,0.10065,0.0004855039
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,400,,485460,0.0000020599,,0.0037958,0.000088425,6.4757,0.1553,0.0005861606
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,450,,442630,0.0000022592,,0.0043176,0.000098765,6.2979,0.22333,0.0006855619
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,500,,399810,0.0000025012,,0.0047589,0.0001091,6.1201,0.29136,0.0007775853
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,550,,356980,0.0000028013,,0.0050807,0.0001193,5.9424,0.35939,0.0008549912
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,600,,314160,0.0000031831,,0.0052507,0.00012928,5.7646,0.42742,0.0009108524
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,650,,271330,0.0000036855,,0.0052378,0.00013894,5.5868,0.49545,0.0009375313
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,700,,228510,0.0000043762,,0.0050188,0.0001482,5.409,0.56348,0.000927861
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,750,,185680,0.0000053856,,0.0045762,0.00015699,5.2312,0.63151,0.0008747897
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,800,,142860,0.0000069999,,0.0039012,0.00016525,5.0535,0.69954,0.0007719798
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,850,,100030,0.000009997,,0.0029924,0.00017296,4.8757,0.76756,0.0006137375
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,900,,57206,0.000017481,,0.0018553,0.00018009,4.6979,0.83559,0.0003949211
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,950,,14381,0.000069536,,0.00050101,0.00018665,4.5201,0.90362,0.0001108405
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,1000,,-28444,-0.000035157,,-0.0010558,0.00019266,4.3423,0.97165,-0.000243143
872,10.1039/c4ee03042g,8684,1(d),10606,x=0.20,FeNb0.8Ti0.2Sb,1050,,-71270,-0.000014031,,-0.0027983,0.00019815,4.1646,1.0397,-0.0006719253
872,10.1039/c4ee03042g,8685,3(a),10606,x=0.20,FeNb0.8Ti0.2Sb,300,,571110,0.000001751,,,,6.8313,,
872,10.1039/c4ee03042g,8879,2(a),10606,x=0.20,FeNb0.8Ti0.2Sb,50,,785230,0.0000012735,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10606,x=0.20,FeNb0.8Ti0.2Sb,100,,742410,0.000001347,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10606,x=0.20,FeNb0.8Ti0.2Sb,150,,699580,0.0000014294,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10606,x=0.20,FeNb0.8Ti0.2Sb,200,,656760,0.0000015226,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10606,x=0.20,FeNb0.8Ti0.2Sb,250,,613930,0.0000016289,,,,,,
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,350,,597280,0.0000016743,,0.0042826,0.000084677,6.7929,0.13991,0.0006304524
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,400,,547080,0.0000018279,,0.0047149,0.000092835,6.6148,0.20387,0.0007127804
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,450,,496870,0.0000020126,,0.0050676,0.00010099,6.4367,0.26782,0.0007872978
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,500,,446670,0.0000022388,,0.0053215,0.00010915,6.2586,0.33178,0.00085027
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,550,,396470,0.0000025223,,0.0054561,0.00011731,6.0806,0.39574,0.0008972963
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,600,,346270,0.0000028879,,0.0054512,0.00012547,5.9025,0.45969,0.0009235409
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,650,,296070,0.0000033776,,0.0052869,0.00013363,5.7244,0.52365,0.0009235728
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,700,,245870,0.0000040672,,0.0049424,0.00014178,5.5464,0.5876,0.0008911005
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,750,,195670,0.0000051106,,0.0043991,0.00014994,5.3683,0.65156,0.0008194587
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,800,,145470,0.0000068743,,0.0036361,0.0001581,5.1902,0.71552,0.0007005703
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,850,,95267,0.000010497,,0.0026334,0.00016626,5.0121,0.77947,0.0005254085
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,900,,45066,0.00002219,,0.001371,0.00017442,4.8341,0.84343,0.0002836102
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,950,,-5134.6,-0.00019476,,-0.00017115,0.00018257,4.656,0.90739,-0.000036759
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,1000,,-55336,-0.000018071,,-0.002013,0.00019073,4.4779,0.97134,-0.0004495411
872,10.1039/c4ee03042g,8684,1(d),10607,x=0.24,FeNb0.76Ti0.24Sb,1050,,-105540,-0.0000094751,,-0.0041749,0.00019889,4.2999,1.0353,-0.0009709296
872,10.1039/c4ee03042g,8879,2(a),10607,x=0.24,FeNb0.76Ti0.24Sb,50,,898480,0.000001113,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10607,x=0.24,FeNb0.76Ti0.24Sb,100,,848280,0.0000011789,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10607,x=0.24,FeNb0.76Ti0.24Sb,150,,798080,0.000001253,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10607,x=0.24,FeNb0.76Ti0.24Sb,200,,747880,0.0000013371,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10607,x=0.24,FeNb0.76Ti0.24Sb,250,,697680,0.0000014333,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10607,x=0.24,FeNb0.76Ti0.24Sb,300,,647480,0.0000015444,,,,,,
872,10.1039/c4ee03042g,8879,2(a),10607,x=0.24,FeNb0.76Ti0.24Sb,1100,,-155740,-0.000006421,,-0.0066765,0.00020705,,,
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,350,,265080,0.0000037724,1.6843,0.0015421,0.000075943,3.9866,0.13585,0.0003868208
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,400,,255800,0.0000039093,1.6034,0.0016137,0.000079596,4.0532,0.162,0.0003981299
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,450,,246510,0.0000040566,1.5226,0.0016853,0.000083249,4.1199,0.18815,0.0004090633
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,500,,237230,0.0000042153,1.4417,0.0017569,0.000086902,4.1866,0.2143,0.0004196484
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,550,,227950,0.0000043869,1.3608,0.0018285,0.000090555,4.2532,0.24045,0.0004299116
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,600,,218660,0.0000045733,1.2799,0.0019002,0.000094208,4.3199,0.2666,0.0004398713
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,650,,209380,0.000004776,1.199,0.0019718,0.000097862,4.3866,0.29275,0.0004495053
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,700,,200100,0.0000049975,1.1181,0.0020434,0.00010151,4.4533,0.3189,0.0004588507
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,750,,190810,0.0000052408,1.0372,0.002115,0.00010517,4.5199,0.34505,0.0004679307
2429,10.1007/s11664-012-2253-9,2859,2,4101,YbFe4Sb12,YbFe4Sb12,800,,181530,0.0000055087,0.95627,0.0021866,0.00010882,4.5866,0.3712,0.0004767366
2429,10.1007/s11664-012-2253-9,2859,2,4102,Yb0.9Fe3CoSb12,Yb0.9Fe3CoSb12,350,,193960,0.0000051557,1.15,0.0015262,0.00008876,2.848,0.19222,0.0005358848
