sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,550,,3384.4,0.00070268,-0.00047495,0.52967,1.0721,0.0002954733,0.0013266373
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,600,,4046.8,0.00081607,-0.00046092,0.47294,1.3341,0.0002471088,0.0017255254
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,650,,4709.2,0.00092946,-0.00044689,0.41621,1.5961,0.0002123503,0.0022331515
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,700,,5371.5,0.0010428,-0.00043286,0.35948,1.8581,0.0001861677,0.0029008568
27933,10.1038/ncomms13713,26690,5(a),33473,Bi-doped SnSe_ 2.1e19_ b-axis,Sn0.94SeBi0.06,750,,6033.9,0.0011562,-0.00041883,0.30275,2.1202,0.0001657303,0.0038189926
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,350,,1032.3,0.00033705,-0.00056151,0.69425,0.10738,0.0009687106,0.0004854879
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,400,,1712.9,0.00042572,-0.00053686,0.64599,0.33514,0.0005838052,0.0006590195
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,450,,2393.6,0.00051439,-0.00051221,0.59774,0.56289,0.0004177807,0.0008605581
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,500,,3074.2,0.00060305,-0.00048755,0.54948,0.79065,0.0003252879,0.0010974922
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,550,,3754.9,0.00069172,-0.0004629,0.50123,1.0184,0.0002663187,0.0013800451
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,600,,4435.5,0.00078039,-0.00043824,0.45297,1.2462,0.0002254537,0.0017228293
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,650,,5116.2,0.00086906,-0.00041359,0.40472,1.4739,0.0001954576,0.0021473117
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,700,,5796.8,0.00095773,-0.00038894,0.35646,1.7017,0.000172509,0.0026867811
27933,10.1038/ncomms13713,26690,5(a),33474,Bi-doped SnSe_ 2.1e19_ c-axis,Sn0.94SeBi0.06,750,,6477.5,0.0010464,-0.00036428,0.30821,1.9294,0.0001543805,0.0033950878
