sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Inverse temperature,Electrical conductivity,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,450,0.0022222,107700,,1.3068,0.0029668,0.00017132,2.1235,0.62871,0.0000092851,0.0013971274
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,500,0.002,82807,,1.1552,0.0031407,0.00019901,1.8569,0.84568,0.0000120763,0.0016913673
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,550,0.0018182,64584,,1.0316,0.0032451,0.00022467,1.638,1.0896,0.0000154837,0.0019811355
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,600,0.0016667,52469,,0.92903,0.003289,0.00024708,1.4644,1.3476,0.0000190589,0.002245971
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,650,0.0015385,45111,,0.8451,0.0032736,0.00026515,1.3349,1.594,0.0000221675,0.0024523185
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,700,0.0014286,40794,,0.77955,0.0031985,0.00027821,1.2479,1.7942,0.0000245134,0.002563106
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,750,0.0013333,37863,,0.73246,0.0030684,0.00028616,1.1997,1.9182,0.000026411,0.0025576394
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,800,0.00125,35142,,0.70212,0.0029002,0.00028977,1.1827,1.9617,0.000028456,0.0024521857
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,850,0.0011765,32367,,0.68311,0.0027294,0.00029082,1.1835,1.9603,0.0000308957,0.0023062104
14602,10.1038/ncomms12167,1883,2(a),2836,x=4.5,Pb0.935Na0.02TeSr0.045,900,0.0011111,30602,,0.66423,0.0026169,0.00029242,1.1816,1.9932,0.0000326776,0.0022147089
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,300,0.0033333,207440,0.007748,1.9603,,,,,0.0000048207,
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,350,0.0028571,174620,0.0066388,1.603,0.002491,0.00011606,2.7433,0.31781,0.0000057267,0.0009080305
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,400,0.0025,140240,0.0055296,1.36,0.0029492,0.00014344,2.3422,0.50366,0.0000071306,0.0012591581
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,450,0.0022222,109210,0.0044204,1.1888,0.0032102,0.00017175,2.0184,0.71571,0.0000091567,0.0015904677
14602,10.1038/ncomms12167,1883,2(a),2837,x=6,Pb0.92Na0.02TeSr0.06,500,0.002,84101,0.0033112,1.0604,0.0033429,0.00019952,1.7618,0.94872,0.0000118905,0.0018974344
