sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,400,181160,1.2664,0.0017701,0.000099863,2.6723,0.26919,0.00000552,0.0006623882
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,450,174500,1.1795,0.001934,0.00010686,2.6719,0.34466,0.0000057307,0.0007238295
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,500,167850,1.0927,0.002098,0.00011386,2.6715,0.42013,0.0000059577,0.0007853266
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,550,161190,1.0059,0.002262,0.00012087,2.6711,0.4956,0.0000062039,0.0008468421
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,600,154530,0.91901,0.002426,0.00012787,2.6707,0.57107,0.0000064712,0.0009083761
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,650,147880,0.83217,0.0025899,0.00013487,2.6703,0.64653,0.0000067622,0.000969891
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,700,141220,0.74532,0.0027539,0.00014187,2.6699,0.722,0.0000070811,0.0010314619
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,750,134570,0.65848,0.0029179,0.00014887,2.6694,0.79747,0.0000074311,0.0010930921
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4365,x=0.06,CeFe3.94Ga0.06Sb12,800,127910,,,,2.669,0.87294,0.000007818,
3404,10.1016/j.jssc.2012.06.019,3154,5(a),4365,x=0.06,CeFe3.94Ga0.06Sb12,850,,,,,2.6686,,,
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,300,193300,,0.0015053,0.000087055,2.7529,0.12397,0.0000051733,0.0005468052
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,350,186330,1.4109,0.0016709,0.00009412,2.7483,0.19945,0.0000053668,0.0006079758
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,400,179370,1.3217,0.0018365,0.00010118,2.7438,0.27494,0.0000055751,0.0006693272
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,450,172400,1.2325,0.0020021,0.00010825,2.7392,0.35042,0.0000058005,0.0007309068
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,500,165440,1.1433,0.0021676,0.00011531,2.7346,0.42591,0.0000060445,0.0007926571
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,550,158470,1.0542,0.0023332,0.00012238,2.73,0.50139,0.0000063103,0.000854652
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,600,151510,0.96497,0.0024988,0.00012944,2.7255,0.57687,0.0000066002,0.0009168226
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,650,144540,0.87577,0.0026643,0.0001365,2.7209,0.65236,0.0000069185,0.0009791981
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,700,137570,0.78658,0.0028299,0.00014357,2.7163,0.72784,0.000007269,0.0010418216
3404,10.1016/j.jssc.2012.06.019,3135,4(b),4366,x=0.1,CeFe3.9Ga0.1Sb12,750,130610,0.69739,0.0029955,0.00015063,2.7118,0.80333,0.0000076564,0.0011046169
3404,10.1016/j.jssc.2012.06.019,3154,5(a),4366,x=0.1,CeFe3.9Ga0.1Sb12,800,,0.6082,,,2.7072,,,
3404,10.1016/j.jssc.2012.06.019,3154,5(a),4366,x=0.1,CeFe3.9Ga0.1Sb12,850,,,,,2.7026,,,
