sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,350,272130,0.0099427,0.00019007,11.539,0.32893,0.0000036747,0.0008616605
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,400,250330,0.0095069,0.00020002,11.067,0.36599,0.0000039947,0.0008590314
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,450,228530,0.0090712,0.00020997,10.595,0.40305,0.0000043758,0.0008561774
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,500,206740,0.0086354,0.00021993,10.123,0.44012,0.000004837,0.0008530475
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,550,184940,0.0081997,0.00022988,9.6515,0.47718,0.0000054072,0.0008495778
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,600,163140,0.0077639,0.00023983,9.1797,0.51424,0.0000061297,0.0008457684
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,650,141340,0.0073282,0.00024979,8.7079,0.5513,0.0000070751,0.0008415577
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,700,119540,0.0068924,0.00025974,8.2362,0.58836,0.0000083654,0.0008368422
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,750,97742,0.0064567,0.00026969,7.7644,0.62543,0.000010231,0.0008315775
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,800,75944,0.0060209,0.00027965,7.2926,0.66249,0.0000131676,0.0008256177
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,850,54145,0.0055852,0.0002896,6.8208,0.69955,0.0000184689,0.0008188482
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,900,32346,0.0051494,0.00029955,6.3491,0.73661,0.0000309157,0.0008110441
21244,10.1073/pnas.1617663113,17144,4(F),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,950,10547,0.0047137,0.00030951,5.8773,0.77368,0.0000948137,0.0008020179
21244,10.1073/pnas.1617663113,17209,4(B),20642,FeNb0.95Ti0.05Sb,Fe1.01Nb0.94Ti0.05Sb0.99,300,,,0.00018011,,,,
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,350,318640,0.0090037,0.00016585,11.467,0.28246,0.0000031383,0.0007851836
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,400,293410,0.0086378,0.00017575,10.996,0.3196,0.0000034082,0.0007855402
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,450,268180,0.008272,0.00018564,10.524,0.35674,0.0000037288,0.0007860129
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,500,242950,0.0079062,0.00019554,10.053,0.39388,0.0000041161,0.0007864518
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,550,217720,0.0075404,0.00020544,9.5817,0.43103,0.0000045931,0.0007869585
21244,10.1073/pnas.1617663113,17144,4(F),20643,FeNb0.94Ti0.06Sb,Fe1.01Nb0.93Ti0.06Sb0.99,600,192490,0.0071746,0.00021533,9.1103,0.46817,0.0000051951,0.0007875262
