sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,mol %,Electrical resistivity,Power factor,Figure of merit Z
4793,10.1103/physrevb.84.155207,4894,14,6198,B,undefined,700,,,,,,0.76111,,,,
4793,10.1103/physrevb.84.155207,4894,14,6199,A,undefined,350,,,,,1.6609,0.36647,,,,
4793,10.1103/physrevb.84.155207,4894,14,6199,A,undefined,400,,,,,1.5589,0.42667,,,,
4793,10.1103/physrevb.84.155207,4894,14,6199,A,undefined,450,,,,,1.4569,0.48687,,,,
4793,10.1103/physrevb.84.155207,4894,14,6199,A,undefined,500,,,,,1.3549,0.54707,,,,
4793,10.1103/physrevb.84.155207,4894,14,6199,A,undefined,550,,,,,1.2529,0.60727,,,,
4793,10.1103/physrevb.84.155207,4894,14,6199,A,undefined,600,,,,,1.1509,0.66747,,,,
4793,10.1103/physrevb.84.155207,4894,14,6199,A,undefined,650,,,,,1.0489,0.72767,,,,
4793,10.1103/physrevb.84.155207,4894,14,6199,A,undefined,700,,,,,0.94692,0.78787,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,300,,,,,,0.27472,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,350,,,,,,0.3482,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,400,,,,,,0.42167,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,450,,,,,,0.49514,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,500,,,,,,0.56862,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,550,,,,,,0.64209,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,600,,,,,,0.71556,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,650,,,,,,0.78904,,,,
4793,10.1103/physrevb.84.155207,4894,14,6200,C,undefined,700,,,,,,0.86251,,,,
4793,10.1103/physrevb.84.155207,4894,14,6201,E,undefined,350,,,,,1.5941,0.09635,,,,
4793,10.1103/physrevb.84.155207,4894,14,6201,E,undefined,400,,,,,1.5101,0.16042,,,,
4793,10.1103/physrevb.84.155207,4894,14,6201,E,undefined,450,,,,,1.4262,0.22449,,,,
4793,10.1103/physrevb.84.155207,4894,14,6201,E,undefined,500,,,,,1.3422,0.28856,,,,
4793,10.1103/physrevb.84.155207,4894,14,6201,E,undefined,550,,,,,1.2582,0.35262,,,,
4793,10.1103/physrevb.84.155207,4894,14,6201,E,undefined,600,,,,,1.1742,0.41669,,,,
4793,10.1103/physrevb.84.155207,4894,14,6201,E,undefined,650,,,,,1.0903,0.48076,,,,
4793,10.1103/physrevb.84.155207,4894,14,6201,E,undefined,700,,,,,1.0063,0.54483,,,,
4793,10.1103/physrevb.84.155207,4894,14,6202,D,undefined,350,,,,,,0.12952,,,,
4793,10.1103/physrevb.84.155207,4894,14,6202,D,undefined,400,,,,,,0.20439,,,,
4793,10.1103/physrevb.84.155207,4894,14,6202,D,undefined,450,,,,,,0.27927,,,,
4793,10.1103/physrevb.84.155207,4894,14,6202,D,undefined,500,,,,,,0.35414,,,,
4793,10.1103/physrevb.84.155207,4894,14,6202,D,undefined,550,,,,,,0.42901,,,,
4793,10.1103/physrevb.84.155207,4894,14,6202,D,undefined,600,,,,,,0.50389,,,,
4793,10.1103/physrevb.84.155207,4894,14,6202,D,undefined,650,,,,,,0.57876,,,,
4793,10.1103/physrevb.84.155207,4894,14,6202,D,undefined,700,,,,,,0.65364,,,,
4793,10.1103/physrevb.84.155207,26837,Table 1,33633,PbCl2,PbCl2,,9.8207e+24,,,,,,0.1,,,
4793,10.1103/physrevb.84.155207,26837,Table 1,33633,PbCl2,PbCl2,,1.4566e+25,,,,,,0.15,,,
4793,10.1103/physrevb.84.155207,26837,Table 1,33633,PbCl2,PbCl2,,1.9311e+25,,,,,,0.2,,,
4793,10.1103/physrevb.84.155207,26837,Table 1,33633,PbCl2,PbCl2,,2.4056e+25,,,,,,0.25,,,
4793,10.1103/physrevb.84.155207,26837,Table 1,33633,PbCl2,PbCl2,,2.8801e+25,,,,,,0.3,,,
4793,10.1103/physrevb.84.155207,26837,Table 1,33633,PbCl2,PbCl2,,3.3546e+25,,,,,,0.35,,,
