sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,338,0.027598,0.0000063942,0.000073793,2.6361,0.15326,156391.7300053173,0.0008516166,0.0003230593
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,338.5,0.027573,0.0000064017,0.000073869,2.6306,0.15426,156208.5071152975,0.0008523719,0.0003240219
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,339,0.027549,0.0000064092,0.000073947,2.6252,0.15525,156025.7130375086,0.0008531734,0.0003249937
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,339.5,0.027525,0.0000064168,0.000074025,2.6197,0.15625,155840.9175913228,0.0008539616,0.0003259769
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,340,0.027501,0.0000064245,0.000074105,2.6143,0.15725,155654.1365086777,0.0008547826,0.0003269642
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,340.5,0.027477,0.0000064322,0.000074186,2.6089,0.15824,155467.8026180778,0.0008556268,0.0003279646
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,341,0.027453,0.00000644,0.000074268,2.6035,0.15924,155279.5031055901,0.0008564807,0.0003289728
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,341.5,0.027428,0.0000064479,0.000074352,2.5982,0.16023,155089.2538655997,0.0008573675,0.0003299852
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,342,0.027404,0.0000064559,0.000074436,2.5928,0.16123,154897.0708963893,0.000858241,0.0003310093
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,342.5,0.02738,0.0000064639,0.000074522,2.5875,0.16223,154705.3636349572,0.0008591606,0.0003320428
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,343,0.027356,0.0000064719,0.00007461,2.5823,0.16322,154514.1303172175,0.0008601264,0.0003330854
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,343.5,0.027332,0.0000064801,0.000074698,2.577,0.16422,154318.6061943489,0.0008610656,0.0003341349
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,344,0.027307,0.0000064883,0.000074788,2.5717,0.16522,154123.5762834641,0.0008620509,0.0003352066
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,344.5,0.027283,0.0000064966,0.000074878,2.5665,0.16621,153926.6693347289,0.0008630229,0.0003362645
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,345,0.027259,0.0000065049,0.00007497,2.5613,0.16721,153730.2648772464,0.0008640411,0.0003373447
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,345.5,0.027235,0.0000065133,0.000075064,2.5562,0.1682,153532.0037461809,0.0008650921,0.0003384289
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,346,0.027211,0.0000065218,0.000075158,2.551,0.1692,153331.9022355791,0.0008661297,0.0003395256
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,346.5,0.027187,0.0000065303,0.000075253,2.5459,0.1702,153132.3216391284,0.0008671905,0.0003406224
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,347,0.027162,0.0000065389,0.00007535,2.5408,0.17119,152930.9211029378,0.000868284,0.0003417365
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,347.5,0.027138,0.0000065475,0.000075448,2.5357,0.17219,152730.0496372661,0.0008694006,0.0003428642
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,348,0.027114,0.0000065562,0.000075546,2.5306,0.17318,152527.3786644703,0.000870504,0.0003439911
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,348.5,0.02709,0.000006565,0.000075646,2.5255,0.17418,152322.9246001523,0.0008716401,0.0003451357
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,349,0.027066,0.0000065738,0.000075747,2.5205,0.17518,152119.0179196203,0.0008727993,0.0003462802
