sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Resistivity,Seebeck coefficient,Thermal conductivity,ZT,Power factor,Figure of merit Z
21449,10.15541/jim20180249,25307,6(a)(i),31537,(Ag2Se)1–x(Bi2Se3)x_ x=0.56,undefined,600,,,12521,0.000079867,4.27e-8,0.0052069,0.37922,,-0.0001546,0.51096,0.37352,0.0002992664,0.0005856944
21449,10.15541/jim20180249,25307,6(a)(i),31537,(Ag2Se)1–x(Bi2Se3)x_ x=0.56,undefined,650,,,11368,0.000087965,2.71e-8,0.0045091,0.34902,,-0.00016746,0.46783,0.43156,0.0003187911,0.0006814252
21449,10.15541/jim20180249,25309,7(a),31537,(Ag2Se)1–x(Bi2Se3)x_ x=0.56,undefined,700,,,,,,,,,-0.0001798,0.42471,,,
21449,10.15541/jim20180249,25309,7(a),31538,AgBiSe2,undefined,350,,,36560,0.000027352,,,0.53966,,-0.00012696,0.65537,0.22381,0.0005893048,0.0008991941
21449,10.15541/jim20180249,25309,7(a),31538,AgBiSe2,undefined,400,,,18027,0.000055472,,,0.52833,,-0.000148,0.63406,0.25989,0.0003948634,0.000622754
21449,10.15541/jim20180249,25309,7(a),31538,AgBiSe2,undefined,450,,,11963,0.000083593,,,0.517,,-0.00016905,0.61275,0.29596,0.0003418774,0.0005579395
21449,10.15541/jim20180249,25309,7(a),31538,AgBiSe2,undefined,500,,,8951.8,0.00011171,,,0.50566,,-0.00019009,0.59144,0.33203,0.0003234662,0.000546913
21449,10.15541/jim20180249,25309,7(a),31538,AgBiSe2,undefined,550,,,7151.5,0.00013983,,,0.49433,,-0.00021114,0.57014,0.3681,0.0003188146,0.0005591865
21449,10.15541/jim20180249,25309,7(a),31538,AgBiSe2,undefined,600,,,5954.2,0.00016795,,,0.483,,-0.00023219,0.54883,0.40418,0.000321004,0.0005848878
21449,10.15541/jim20180249,25309,7(a),31538,AgBiSe2,undefined,650,,,5100.2,0.00019607,,,0.47167,,-0.00025323,0.52752,0.44025,0.0003270525,0.0006199813
21449,10.15541/jim20180249,25309,7(a),31538,AgBiSe2,undefined,700,,,4460.5,0.00022419,,,0.46033,,-0.00027428,0.50621,0.47632,0.0003355613,0.0006628894
21449,10.15541/jim20180249,25313,8(a),31538,AgBiSe2,undefined,300,,,,,,,,,,,0.18774,,
21449,10.15541/jim20180249,25309,7(a),31539,Ag0.985In0.015BiSe2,undefined,350,,,31886,0.000031362,,,0.62825,,-0.000081572,0.85818,0.045907,0.0002121692,0.0002472315
21449,10.15541/jim20180249,25309,7(a),31539,Ag0.985In0.015BiSe2,undefined,400,,,25154,0.000039755,,,0.59825,,-0.00009751,0.81553,0.11646,0.0002391693,0.0002932685
21449,10.15541/jim20180249,25309,7(a),31539,Ag0.985In0.015BiSe2,undefined,450,,,20770,0.000048147,,,0.56825,,-0.00011345,0.77287,0.187,0.0002673286,0.0003458908
21449,10.15541/jim20180249,25309,7(a),31539,Ag0.985In0.015BiSe2,undefined,500,,,17687,0.00005654,,,0.53825,,-0.00012938,0.73022,0.25755,0.000296066,0.0004054476
21449,10.15541/jim20180249,25309,7(a),31539,Ag0.985In0.015BiSe2,undefined,550,,,15400,0.000064933,,,0.50826,,-0.00014532,0.68756,0.3281,0.0003252157,0.0004729997
